Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,208262735701,238353577485,232297763863
현금및현금성자산,16180599434,12852441603,17671812646
단기금융상품,65753803935,109728575048,91598227261
상각후원가로 측정하는 유동 금융자산,20175000,11075000,31210000
매출채권,23977929496,31114659395,30660230197
유동계약자산,18601063578,8602970472,18501679922
단기미수금,30640747238,27461827778,20659604151
단기미수수익,955039575,1011351537,410594334
단기선급금,1518781900,877862067,1503233918
단기선급비용,1190046944,479279161,836226332
당기법인세자산,,,146569657
유동재고자산,38872755367,35676766718,33499860063
기타유동자산,51793234,36768706,
매각예정자산,10500000000,10500000000,16778515382
비유동자산,398652510760,348460020134,345395297383
장기금융상품,280757564,228229278,1833136234
상각후원가로 측정하는 비유동 금융자산,95575000,86290000,73580000
기타포괄손익-공정가치측정 금융자산,2532461008,3408465265,3993740942
당기손익-공정가치측정 금융자산,8029041995,13509194782,13129638026
관계기업투자,168833120391,162330441750,158893809718
유형자산,163512418812,133398897193,134786024272
사용권자산,8632533136,1570345381,2191540825
무형자산,21647768530,5378582878,5870719562
투자부동산,20915718117,21482489897,22049261679
이연법인세자산,1256136119,1170235700,991383866
기타비유동자산,2916980088,5896848010,1582462259
자산총계,606915246461,586813597619,577693061246
부채,,,
유동부채,69571031711,65544892616,61146241941
단기매입채무,3660516231,5055676731,5395375010
단기미지급금,26742015285,20220724960,16466313081
단기미지급비용,3084302536,2977778404,2615814306
단기선수금,290192000,171552607,339346000
유동계약부채,12886858137,9557209730,5612138564
단기예수금,3141693628,3290953522,3285557582
미지급법인세,500853797,2288146531,1614273788
유동 차입금,11308282493,10308780378,16000000000
비유동차입금의 유동성 대체 부분,5459808000,9564000000,7876490000
유동성장기미지급금,,,166796769
유동충당부채,315908316,570248820,118484382
기타 유동부채,1443010500,1309115500,1067059020
유동 리스부채,737590788,230705433,541749806
매각예정부채,,,46843633
비유동부채,71757856917,70560307119,76793731607
장기차입금,22639020000,28677100000,35541100000
장기미지급금,33489883,57541585,
장기임대보증금,4556600000,4850000000,4921900000
퇴직급여부채,23080231280,23800431349,26647761525
이연법인세부채,9947870131,8456479087,4831555789
비유동충당부채,2616341730,2152100094,2363968833
비유동 리스부채,8884303893,2566655004,2487445460
부채총계,141328888628,136105199735,137939973548
자본,,,
지배기업의 소유주에게 귀속되는 자본,462529272713,447854118717,431664560291
자본금,11825115000,11825115000,11825115000
보통주자본금,11825115000,11825115000,11825115000
자본잉여금,100580547333,100580547333,100151613248
주식발행초과금,38624908973,38624908973,38624908973
재평가적립금,26437137845,26437137845,26437137845
기타자본잉여금,35518500515,35518500515,35089566430
이익잉여금(결손금),638204672339,624069828032,607591807687
기타자본구성요소,"(288,081,061,959)","(288,621,371,648)","(287,903,975,644)"
비지배지분,3057085120,2854279167,8088527407
자본총계,465586357833,450708397884,439753087698
자본과부채총계,606915246461,586813597619,577693061246
