Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,2081259893738.0,2526145050706.0,1820030594141.0
현금및현금성자산,531046016471.0,1098442056091.0,722154796935.0
단기금융상품,29447000000.0,366000000000.0,6949050000.0
단기투자증권,22850769448.0,0.0,0.0
매출채권,162451481898.0,388081444299.0,471114667683.0
금융리스채권,62673671.0,934469044.0,283787839.0
단기대여금,976070146.0,692792016.0,2979873190.0
미수금,14795401059.0,20059491292.0,5137976301.0
미수수익,1265085659.0,2691891656.0,425148825.0
보증금,4660292818.0,4857940738.0,9813349956.0
파생금융상품자산,6036282704.0,3474168439.0,45305070.0
당기법인세자산,4171340349.0,2436148724.0,1024641358.0
재고자산,332902731126.0,553271367576.0,515479241989.0
매각예정자산,903847763426.0,0.0,3316225191.0
기타자산,66746984963.0,85203280831.0,81306529804.0
비유동자산,4951062237944.0,3866947514202.0,4360101909469.0
장기금융상품,27500000.0,248816366.0,29500000.0
장기투자증권,46255573779.0,12638407037.0,3270637873.0
금융리스채권,0.0,0.0,193523331.0
장기대여금,2050457000.0,36391654.0,8724965.0
장기미수금,100000000.0,0.0,788876162.0
보증금,13438128038.0,7943217331.0,5884718480.0
파생금융상품자산,12141742309.0,5874301081.0,1426193797.0
공동기업투자,1369254038.0,,397416988691.0
관계기업투자,247218712696.0,241604420420.0,92811458519.0
유형자산,2665422526121.0,1890721222053.0,2430295580844.0
사용권자산,73482908869.0,88044120528.0,56083859585.0
투자부동산,68484446725.0,747025637.0,30095256232.0
영업권,955491654461.0,909776925822.0,813083077511.0
무형자산,715383823985.0,613816415561.0,469098592134.0
이연법인세자산,90026092372.0,41117058698.0,43725035595.0
기타자산,60169417551.0,54379192014.0,15889885750.0
총자산,7032322131682.0,6393092564908.0,6180132503610.0
부채,,,
유동부채,1845575953952.0,1870885565853.0,1720045412510.0
단기차입금,1155758457827.0,1065169800001.0,701350109443.0
유동성사채,9990989994.0,47372088182.0,145795664139.0
유동성장기차입금,54340750000.0,180506373559.0,152415576014.0
매입채무,87765715097.0,240461221764.0,208339037850.0
미지급금,106265259961.0,201824563578.0,229887833367.0
미지급비용,54176203213.0,91272643005.0,139191841149.0
유동파생상품부채,11236842646.0,1986027933.0,4586282654.0
리스부채,25437990781.0,19604602010.0,13861521540.0
금융보증부채,0.0,562565738.0,0.0
당기법인세부채,9882138926.0,8013665495.0,104817084503.0
유동충당부채,4938530070.0,4637496759.0,1969494363.0
매각예정부채,274307547077.0,0.0,0.0
기타부채,51475528360.0,9474517829.0,17830967488.0
비유동부채,2662321928790.0,2280356237847.0,2177726399198.0
장기차입금,1983765748642.0,1800248708998.0,1562225014911.0
사채,174724997170.0,154672736652.0,292183225461.0
교환사채,20000000000.0,0.0,0.0
리스부채,18158744727.0,43864429000.0,22233713093.0
장기미지급금,168293990884.0,59497220628.0,29601067852.0
장기미지급비용,585247651.0,4816800900.0,13121123558.0
파생금융상품부채,7680751784.0,15199592.0,208081559.0
임대보증금,807614362.0,931106036.0,359593600.0
충당부채,18273304386.0,17125084374.0,14622248596.0
이연법인세부채,180940046112.0,196584972774.0,230668830365.0
기타부채,89091483072.0,2599978893.0,12503500203.0
총부채,4507897882742.0,4151241803700.0,3897771811708.0
자본,,,
지배기업의 소유주에게 귀속되는 자본,1410660511084.0,1725496452384.0,2001237977175.0
자본금,189341490000.0,189341490000.0,189341490000.0
기타불입자본,1350786348.0,79708566928.0,260987340777.0
이익잉여금,1135515621582.0,1450957852808.0,1543823183390.0
기타자본구성요소,84452613154.0,5488542648.0,7085963008.0
비지배지분,1113763737856.0,516354308824.0,281122714727.0
자본총계,2524424248940.0,2241850761208.0,2282360691902.0
자본과 부채,7032322131682.0,6393092564908.0,6180132503610.0
