Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31
"매출 (주6,28)",35172218324.0,34466435911
매출원가 (주30),17793714933.0,21310858150
매출총이익,17378503391.0,13155577761
"판매비와관리비 (주29,30)",13921615727.0,10108830286
영업이익(손실),3456887664.0,3046747475
영업외손익,1584178689.0,"(8,650,338,416)"
기타수익 (주31),281466898.0,355410050
기타비용 (주31),39079928.0,34480390
"금융수익 (주7,32)",1350870035.0,563962035
"금융원가 (주7,32)",9078316.0,2204495
관계기업투자손실 (주13),,9533025616
법인세비용차감전순이익(손실),5041066353.0,"(5,603,590,941)"
법인세비용(수익) (주22),773856687.0,298812253
당기순이익(손실),4267209666.0,"(5,902,403,194)"
당기순이익(손실)의 귀속,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),4267209666.0,"(5,902,403,194)"
비지배지분에 귀속되는 당기순이익(손실),,
기타포괄손익,,780932363
후속적으로 당기손익으로 재분류되지 않는 항목,,
지분법자본변동,,780932363
총포괄손익,4267209666.0,"(5,121,470,831)"
포괄손익의 귀속,,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분",4267209666.0,"(5,121,470,831)"
"포괄손익, 비지배지분",,
주당이익(손실),,
기본주당이익(손실) (단위 : 원) (주33),358.0,(508)
희석주당이익(손실) (단위 : 원) (주33),356.0,(508)
