Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,385962057025,374470184500,278062228354
현금및현금성자산,53970858701,9168866710,17193449216
매출채권및기타채권,213863001699,192667787543,155409613432
기타금융자산,462063116,224260,233241
기타유동자산,2566949581,9392325185,2065329385
재고자산,115003038466,163240980802,101059368727
당기법인세자산,96145462,,2334234353
비유동자산,350887765514,296125914046,282877251503
매출채권및기타채권,848062129,1623586689,
기타포괄손익-공정가치측정금융자산,13937137944,18315678864,
기타금융자산,3480848800,2693192211,2222684395
관계기업및공동기업투자,1751646641,1910696058,1835116895
유형자산,299683963750,254124975586,259876168491
무형자산,1185782688,935590114,932892770
이연법인세자산,30000323562,16522194524,18010388952
자산총계,736849822539,670596098546,560939479857
부채,,,
유동부채,276378536450,253348298255,152150110600
매입채무및기타채무,88815684231,57151443224,44442192083
단기차입금,172796457377,179774493119,94702791973
리스부채,1500044895,824322767,809121081
기타금융부채,9913705566,7149888894,5753169273
충당부채,667467944,852217089,886209110
기타부채,2685176437,5505435651,5556627080
당기법인세부채,,2090497511,
비유동부채,21994908817,6124298677,15653588712
장기차입금,1674000000,,
리스부채,9748025344,10527547279,11050200329
순확정급여부채,8530661273,"(5,900,689,400)",3007037522
기타장기종업원급여부채,1792494572,1497440798,1596350861
충당부채,249727628,,
부채총계,298373445267,259472596932,167803699312
자본,,,
지배기업의 소유주에게 귀속되는 자본,438476377272,411123501614,396276919950
자본금,190178237000,132615240000,132615240000
자본잉여금,308437627045,261575182187,261575182187
자본조정,"(34,313,246)",,
기타포괄손익누계액,"(3,498,573,057)","(31,466,869)","(29,475,622)"
이익잉여금(결손금),"(56,606,600,470)",16964546296,2115973385
비지배지분,,,"(3,141,139,405)"
자본총계,438476377272,411123501614,393135780545
부채와자본총계,736849822539,670596098546,560939479857
