Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
영업수익,117951671998,112460358280,96521903819
영업비용,"(99,610,809,572)","(93,945,952,266)","(80,587,754,550)"
영업이익,18340862426,18514406014,15934149269
기타이익,742080984,415999999,506070339
기타손실,16279000937,500771230,812474008
금융수익,3902545993,2176964628,702681842
금융원가,1683256179,293637690,544366972
관계기업투자손익,"(104,692,007)",3137789,
법인세비용차감전순이익(손실),4918540280,20316099510,15786060470
법인세비용(수익),5450731774,5148481562,5283930903
계속영업이익(손실),"(532,191,494)",15167617948,10502129567
중단영업이익(손실),,,4891546890
당기순이익(손실),"(532,191,494)",15167617948,15393676457
기타포괄손익(법인세차감후),"(2,353,175,397)",2199517309,5021331243
확정급여제도의 재측정손익(세후기타포괄손익),"(515,201,228)",467194786,575345126
지분상품에 대한 투자자산의 세후기타포괄손익,"(1,816,766,691)",1732322523,4445986117
지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),"(21,207,478)",,
총포괄손익,"(2,885,366,891)",17367135257,20415007700
주당이익,,,
기본주당이익(손실) (단위 : 원),(22),639,648
희석주당이익(손실) (단위 : 원),(22),639,648
