Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,106588644754.0,126766299783.0,92573564706.0
현금및현금성자산,21897972813.0,20504794424.0,18314974539.0
단기금융자산,0.0,4661900000.0,1150000000.0
매출채권 및 기타채권,31678734106.0,50163596017.0,12507836431.0
당기법인세자산,599504690.0,30747950.0,22622545.0
파생상품자산,2624788974.0,382046882.0,0.0
기타유동자산,1255206758.0,1655056780.0,1809293835.0
유동재고자산,48532437413.0,49368157730.0,58768837356.0
비유동자산,163860220253.0,165689790320.0,167141007022.0
장기금융자산,12000000.0,12000000.0,12000000.0
당기손익-공정가치금융자산,1403431000.0,1707211870.0,3036933787.0
유형자산,150882801285.0,153727227176.0,155675222562.0
무형자산,1392137899.0,1400304566.0,1449304566.0
사용권자산,535873640.0,347123027.0,289154184.0
관계기업투자,6616288535.0,3228636900.0,3189479556.0
기타포괄손익-공정가치금융자산,474874666.0,539502161.0,664646550.0
파생상품자산,0.0,2591747112.0,0.0
기타금융자산,2467209735.0,1983777690.0,1539449035.0
이연법인세자산,75603493.0,152259818.0,1284816782.0
자산총계,270448865007.0,292456090103.0,259714571728.0
부채,,,
유동부채,103324903361.0,92989182233.0,68774868097.0
매입채무 및 기타채무,23077893870.0,28638433078.0,15055021299.0
단기차입금,47500000000.0,57200000000.0,45000000000.0
유동성장기부채,5023900000.0,3152800000.0,4902800000.0
유동성사채,24397571194.0,0.0,0.0
당기법인세부채,0.0,894516798.0,1269114593.0
파생상품부채,91969110.0,65100673.0,47019171.0
기타부채,833191292.0,790677042.0,797733712.0
유동 리스부채,274284000.0,178344276.0,112387768.0
계약부채,2126093895.0,2069310366.0,1590791554.0
비유동부채,17897454740.0,50513984773.0,53111969819.0
장기차입금,165900000.0,9929800000.0,13082600000.0
사채,0.0,23865553883.0,22198928558.0
순확정급여부채,1369969813.0,1023008808.0,1804798197.0
비유동 리스부채,261589640.0,168778750.0,176766416.0
이연법인세부채,16099995287.0,15526843332.0,15848876648.0
부채총계,121222358101.0,143503167006.0,121886837916.0
자본,,,
지배기업의 소유주에게 귀속되는 자본,149226506906.0,148952923097.0,137827733812.0
자본금,10095735500.0,10095735500.0,9999720000.0
기타불입자본,47995272502.0,47995272502.0,47291286856.0
기타자본구성요소,758046139.0,852295816.0,925181174.0
이익잉여금,90377452765.0,90009619279.0,79611545782.0
자본총계,149226506906.0,148952923097.0,137827733812.0
자본과부채총계,270448865007.0,292456090103.0,259714571728.0
