Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액,11767893663269,12130712862374,11343651787492
매출원가,"(10,468,766,117,130)","(10,944,706,303,203)","(10,272,323,722,285)"
매출총이익,1299127546139,1186006559171,1071328065207
판매 및 일반관리비,"(818,892,682,982)","(774,219,671,929)","(727,447,299,540)"
영업이익(손실),480234863157,411786887242,343880765667
금융수익,93408901897,103324651903,71770580022
금융원가,"(230,064,840,603)","(203,802,164,791)","(204,227,563,293)"
기타이익,43869162664,24562311861,201130701852
기타비용,"(71,132,683,477)","(66,232,138,028)","(190,494,707,367)"
지분법이익(손실),8656047173,15704262161,17130509813
법인세비용차감전순이익,324971450811,285343810348,239190286694
법인세 수익(비용),"(82,095,395,926)","(88,522,025,924)","(80,910,590,449)"
당기순이익,242876054885,196821784424,158279696245
당기순이익(손실)의 귀속,,,
지배기업 소유주 귀속 당기순이익,224803078902,181552551813,54742329035
비지배지분,18072975983,15269232611,103537367210
주당이익,,,
기본 및 희석 주당이익 (단위 : 원),10357.0,8190.0,1841.0
