Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31
매출액,249147689845,339264169508.0
매출원가,215557616353,239867366615.0
매출총이익,33590073492,99396802893.0
판매비와관리비,35970195786,42770630011.0
영업이익(손실),"(2,380,122,294)",56626172882.0
기타수익,772512664,1021190712.0
기타비용,478705218,560947833.0
금융수익,8278676346,17068978228.0
금융비용,9543906104,9334511196.0
지분법손익,"(41,748,858)",580785800.0
법인세비용차감전순이익(손실),"(3,393,293,464)",65401668593.0
법인세비용(수익),"(1,298,145,839)",12036478163.0
당기순이익(손실),"(2,095,147,625)",53365190430.0
당기순이익(손실)의 귀속,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),120909519,49819409202.0
비지배지분에 귀속되는 당기순이익(손실),"(2,216,057,144)",3545781228.0
지배기업의 소유주지분에 대한 주당손익,,
기본주당이익(손실) (단위 : 원),11,4614.0
희석주당이익(손실) (단위 : 원),11,4614.0
