Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액,128819482459,121302188368,104305802113
매출원가,118934070148,112141523989,84606463907
매출총이익,9885412311,9160664379,19699338206
판매비와관리비,10520281408,13178877924,20593826034
영업이익(손실),"(634,869,097)","(4,018,213,545)","(894,487,828)"
금융수익,7503801826,779457391,389243630
금융원가,6934600463,737991833,334819879
지분법손익,,,"(397,046,750)"
기타수익,3296666339,449467508,23060560855
기타비용,10797318847,1300451405,6225696029
법인세비용차감전순이익(손실),"(7,566,320,242)","(4,827,731,884)",15597753999
법인세비용(수익),"(52,960)",,1339084745
계속영업이익(손실),"(7,566,267,282)","(4,827,731,884)",14258669254
중단영업이익(손실),"(513,875,770)","(756,051,547)","(3,852,708,006)"
당기순이익(손실),"(8,080,143,052)","(5,583,783,431)",10405961248
지배기업 소유주 지분,"(5,843,435,529)","(5,318,464,213)",13022484603
계속영업이익(손실),"(5,329,559,759)","(5,318,464,213)",14258669254
중단영업이익(손실),"(513,875,770)",,"(1,236,184,651)"
비지배지분,"(2,236,707,523)","(265,319,218)","(2,616,523,355)"
계속영업이익(손실),"(2,236,707,523)","(265,319,218)",
중단영업이익(손실),,,"(2,616,523,355)"
기타포괄손익,"(849,619,723)","(2,251,061,772)","(3,377,322,939)"
당기손익으로 재분류되지 않는항목(세후기타포괄손익),,80002686,410985801
해외사업환산손익,,"(24,983,691)",
지분법자본변동,,,256540514
확정급여제도의 재측정손익(세후기타포괄손익),,104986377,154445287
후속적으로 당기손익으로 재분류되지 않는 항목,"(849,619,723)","(2,331,064,458)","(3,788,308,740)"
총포괄손익,,,
지배기업 소유주 지분,"(6,693,055,252)","(7,569,525,985)",13475621485
비지배기준,"(2,236,707,523)","(265,319,218)","(2,594,275,170)"
주당이익,,,
기본주당이익(손실) (단위 : 원),,,
계속영업기본주당이익(손실) (단위 : 원),(47),(43),114
중단영업기본주당이익(손실) (단위 : 원),,,(10)
희석주당이익(손실) (단위 : 원),,,
계속영업희석주당이익(손실) (단위 : 원),(47),(43),114
중단영업희석주당이익(손실) (단위 : 원),,,(10)
