Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
현금및현금성자산,29286730,32418295,19912544
당기손익-공정가치측정금융자산,20561927,18489573,11933349
기타포괄손익-공정가치측정금융자산,37811173,33000262,39042051
상각후원가측정유가증권,23996172,28268516,17086274
상각후원가측정대출채권및기타금융자산,340740764,325919599,323017411
관계기업투자자산,1029697,917581,858706
투자부동산,592528,603211,588997
유형자산,2728961,2700817,2761710
무형자산,519781,438484,464887
매각예정자산,11573,9589,20372
당기법인세자산,152898,38913,22491
이연법인세자산,44312,55732,0
파생상품자산(위험회피목적),698,0,95103
순확정급여자산,221545,287673,12684
기타자산,318307,192734,160048
자산총계,458017066,443340979,415976627
자본과 부채,,,
부채,,,
당기손익-공정가치측정금융부채,6023306,8988077,4681447
예수부채,353851379,338923832,314778574
차입부채,25254732,23028206,21376880
발행사채,21277033,24639433,26478289
충당부채,705964,466524,494820
순확정급여부채,2426,2321,2337
당기법인세부채,58085,716936,484984
이연법인세부채,479614,29356,214436
파생상품부채(위험회피목적),135263,193831,20287
기타금융부채,23230152,20359019,22616804
기타부채,295660,236258,166250
부채총계,431313614,417583793,391315108
자본,,,
지배기업 소유주지분,26581075,25646249,24554884
자본금,3581392,3581392,3581392
신종자본증권,1546447,2344816,2555166
자본잉여금,1096194,1096194,1096194
기타자본,"(1,568,050)","(2,324,321)","(2,061,097)"
이익잉여금,21925092,20948168,19383229
대손준비금 적립액,"(2,307,974)","(2,443,576)","(2,126,017)"
대손준비금 환입(전입)필요액,402620,135602,"(317,559)"
대손준비금 환입(전입)예정액,402620,135602,"(317,559)"
비지배지분,122377,110937,106635
자본총계,26703452,25757186,24661519
자본과부채총계,458017066,443340979,415976627
