Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
Ⅰ.수익(매출액),42647034864,39800517852,35847403531
Ⅱ.매출원가,29988868252,28341686342,24613150959
Ⅲ.매출총이익,12658166612,11458831510,11234252572
Ⅳ.판매비와관리비,18931254282,15262614385,16524951650
Ⅴ.영업이익(손실),"(6,273,087,670)","(3,803,782,875)","(5,290,699,078)"
Ⅵ.기타이익,3480367380,1857884685,1774129793
Ⅶ.기타손실,1109987083,3545402198,901469026
Ⅷ.금융수익,678361173,227682535,140212785
Ⅸ.금융원가,2551945104,2216080864,1656530242
Ⅹ.관계기업투자이익(손실),36838045,0,0
XI.법인세비용차감전순이익(손실),"(5,739,453,259)","(7,479,698,717)","(5,934,355,768)"
XⅡ.법인세비용,171152193,0,0
XⅢ.당기순이익(손실),"(5,910,605,452)","(7,479,698,717)","(5,934,355,768)"
XIV.기타포괄손익,491629183,133089361,170247791
(1)당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),491629183,133089361,170247791
1.해외사업장환산외환차이(세후기타포괄손익),356794030,133089361,170247791
2.지분법자본변동(세후기타포괄손익),134835153,0,0
XV.총포괄손익,"(5,418,976,269)","(7,346,609,356)","(5,764,107,977)"
XVI.당기순이익(손실)의 귀속,,,
(1)지배기업의 소유주에게 귀속되는 당기순이익(손실),"(3,979,102,612)","(6,513,790,270)","(4,459,354,101)"
(2)비지배지분에 귀속되는 당기순이익(손실),"(1,931,502,840)","(965,908,447)","(1,475,001,667)"
XVII.총 포괄손익의 귀속,,,
"(1)총 포괄손익, 지배기업의 소유주에게 귀속되는 지분","(3,585,622,548)","(6,417,311,958)","(4,338,201,786)"
"(2)총 포괄손익, 비지배지분","(1,833,353,721)","(929,297,398)","(1,425,906,191)"
XVIII.주당이익,,,
(1)기본주당이익(손실) (단위 : 원),(57),(93),(70)
(2)희석주당이익(손실) (단위 : 원),(57),(93),(70)
