Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
수익(매출액),29651357,21239082,18065534
매출원가,27948549,19726334,16268298
매출총이익,1702808,1512748,1797236
판매비와관리비,917378,937846,1043732
영업이익(손실),785430,574902,753504
지분법이익,2636,1150,456
지분법손실,7916,13823,11014
금융수익,294585,401429,224858
금융원가,141179,176777,125910
기타이익,504788,435786,349170
기타손실,498799,468852,336963
법인세비용차감전순이익(손실),939545,753815,854101
법인세비용(수익),285264,282939,299724
당기순이익(손실),654281,470876,554377
기타포괄손익,"(28,254)",144152,156610
당기손익으로 재분류되지 않는항목(세후기타포괄손익),"(73,425)",28872,5067
지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),235,65,0
확정급여제도의 재측정손익(세후기타포괄손익),"(71,058)",33131,"(1,417)"
기타포괄손익-공정가치측정금융자산평가손익,"(2,602)","(4,324)",6484
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),45171,115280,151543
해외사업장환산외환차이(세후기타포괄손익),45171,115280,151543
총포괄손익,626027,615028,710987
당기순이익(손실)의 귀속,,,
당기순이익의 귀속,654281,470876,554377
지배기업의 소유주에게 귀속되는 당기순이익(손실),535904,408886,407508
비지배지분에 귀속되는 당기순이익(손실),118377,61990,146869
포괄손익의 귀속,,,
당기포괄이익의 귀속,626027,615028,710987
"포괄손익, 지배기업의 소유주에게 귀속되는 지분",518202,537438,568095
"포괄손익, 비지배지분",107825,77590,142892
주당이익,,,
기본주당이익(손실) (단위 : 원),4767.00,3637.00,3625.00
구형 우선주 기본주당순이익 (단위 : 원),4817.00,3687.00,3675.00
