Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
영업수익,26893075403,21632033146,31950264577.0
영업비용,6369285010,4094596198,13978594007.0
인건비,4156903289,2289130902,1825914287.0
감가상각비,87016244,82012504,81785214.0
대손상각비(대손충당금환입),60770710,,
손실충담부채전입액,,,9822552437.0
지급수수료,982000261,751470032,1140422353.0
기타비용,1082594506,971982760,1107919716.0
영업이익(손실),20523790393,17537436948,17971670570.0
금융수익,937052595,329510357,60679458.0
금융원가,6604224995,5305780467,3386478856.0
관계기업투자손익,"(40,691,985)",,
기타영업외이익,30834605,5574238,317826748.0
기타영업외비용,5814551,53739199,284277707.0
법인세비용차감전순이익(손실),14840946062,12513001877,14679420213.0
법인세비용(수익),3074788082,2609691934,3195069103.0
당기순이익(손실),11766157980,9903309943,11484351110.0
기타포괄손익,692435543,29356224,540331225.0
당기손익으로 재분류되지 않는항목(세후기타포괄손익),692435543,29356224,540331225.0
총포괄손익,12458593523,9932666167,12024682335.0
당기순이익(손실)의 귀속,,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),11631040484,10051615828,11479974756.0
비지배지분에 귀속되는 당기순이익(손실),135117496,"(148,305,885)",4376354.0
총 포괄손익의 귀속,,,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분",12323476027,10080972052,12020305981.0
"포괄손익, 비지배지분",135117496,"(148,305,885)",4376354.0
주당이익,,,
기본주당이익(손실) (단위 : 원),244,207,249.0
희석주당이익(손실) (단위 : 원),244,207,249.0
