Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액,2629493454,1956998071,3486080421
매출원가,"(2,231,240,900)","(1,676,582,801)","(2,901,460,713)"
매출총이익,398252554,280415270,584619708
판매비와관리비,"(407,724,199)","(311,214,831)","(523,725,256)"
매출채권및기타채권손상차손(환입),"(1,562,181)","(15,809)","(2,278,462)"
영업이익(손실),"(11,033,826)","(30,815,370)",58615990
금융수익,16785969,12647839,14670433
금융원가,"(13,508,142)","(6,408,552)","(4,700,571)"
기타수익,131903380,17168087,19399783
기타비용,"(1,175,076,335)","(133,054,713)","(64,943,092)"
관계기업및공동기업손익에대한지분,1814006674,80552842,33967024
법인세비용차감전순이익(손실),763077720,"(59,909,867)",57009567
법인세수익(비용),251345266,29062368,15670295
계속영업이익(손실),1014422986,"(30,847,499)",
중단영업이익(손실),86485227,76126636,
당기순이익(손실),1100908213,45279137,41339272
기타포괄손익,20681131,"(38,706,495)",21824130
후속적으로 당기손익으로 재분류되는 항목,531877,2876277,1293521
관계기업및공동기업자본변동,"(1,504,699)","(1,448,314)","(189,227)"
해외사업장환산외환차이(세후기타포괄손익),2036576,4324591,1482748
후속적으로 당기손익으로 재분류되지 않는 항목,20149254,"(41,582,772)",20530609
기타포괄손익-공정가치측정금융자산의 공정가치 변동,52980106,"(67,540,347)",20071104
관계기업및공동기업자본변동,1122267,"(974,636)",1051578
관계기업및공동기업확정급여부채의 재측정요소,"(6,660,092)",4704982,1525523
확정급여부채의 재측정요소,"(27,293,027)",22227229,"(2,117,596)"
총포괄손익,1121589344,6572642,63163402
당기순이익(손실)의 귀속,,,
지배기업소유주지분순이익,1127285223,58805352,43456270
계속영업이익(손실),1040763006,"(17,466,072)",
중단영업이익(손실),86522217,76271424,
비지배지분순이익,"(26,377,010)","(13,526,215)","(2,116,998)"
계속영업이익(손실)),"(26,340,021)","(13,381,426)",
중단영업이익(손실),"(36,989)","(144,789)",
총 포괄손익의 귀속,,,
지배기업의 소유주 지분,1159103171,17289792,66370654
계속영업이익(손실)),1069291196,"(62,273,653)",
중단영업이익(손실),89811975,79563445,
비지배지분,"(37,513,827)","(10,717,150)","(3,207,252)"
주당이익,,,
기본주당이익(손실) (단위 : 원),12056,674,498
계속영업기본주당이익(손실) (단위 : 원),11131,(200),
중단영업기본주당이익(손실) (단위 : 원),925,874,
