Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
영업수익,903772,972571,925509
영업비용,918776,981398,916469
매출원가,886640,949474,870164
판매비와관리비,32136,31924,46305
영업이익(손실),"(15,004)","(8,827)",9040
기타수익,6779,4895,6195
기타비용,22436,3713,14938
금융수익,66796,80461,38896
금융비용,65473,98438,58859
법인세비용차감전순이익(손실),"(29,338)","(25,622)","(19,666)"
법인세비용(수익),(100),(967),3652
계속사업당기순이익,"(29,238)","(24,655)","(23,318)"
중단사업당기순이익,"(21,130)",6005,0
당기순이익(손실),"(50,368)","(18,650)","(23,318)"
당기순이익(손실)의 귀속,,,
지배기업주주지분,"(50,537)","(13,554)","(15,275)"
계속사업손익,"(29,407)","(31,353)","(15,275)"
중단사업손익,"(21,130)",17799,0
비지배지분,169,"(5,096)","(8,043)"
계속사업손익,169,"(5,096)","(8,043)"
중단사업손익,0,0,0
기타포괄손익,31431,"(3,121)",(727)
후속기간에 당기손익으로 재분류되지 않는항목,22872,2567,47
확정급여제도의 재측정요소,(991),1772,(35)
재평가잉여금,23863,795,82
후속기간에 당기손익으로 재분류되는 항목,8559,"(5,688)",(774)
기타포괄손익-공정가치 금융자산평가손익,8273,"(5,900)","(1,534)"
지분법자본변동,2,(29),(9)
해외사업환산손익,284,241,769
총포괄손익,"(18,937)","(21,771)","(24,045)"
포괄손익의 귀속,,,
지배기업주주지분,"(28,846)","(17,974)","(15,899)"
계속사업총포괄손익,"(6,857)","(18,333)","(15,899)"
중단사업총포괄손익,"(21,989)",359,0
비지배지분,9909,"(3,797)","(8,146)"
주당손익,,,
기본주당이익(손실) (단위 : 원),"(1,727)",(490),(696)
계속사업기본주당이익(손실) (단위 : 원),"(1,007)",(700),(696)
중단사업기본주당이익(손실) (단위 : 원),(720),210,0
