Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31
"Ⅰ.매출액 (주22,34)",70262545752,100888514943
"Ⅱ.매출원가 (주23,25)",58964568615,85383669039
Ⅲ.매출총이익,11297977137,15504845904
"Ⅳ.판매비와관리비 (주24,25)",9397372865,11837222152
Ⅴ.영업이익(손실),1900604272,3667623752
기타수익 (주26),3143860354,8725150789
기타비용 (주26),3146097885,8239567537
"금융수익 (주7,27)",873546211,541271414
"금융비용 (주7,27)",743612050,927617103
Ⅵ.법인세비용차감전순이익(손실),2028300902,3766861315
Ⅶ.법인세비용 (주28),855577688,825515064
Ⅷ.계속사업의 당기순이익(손실),1172723214,2941346251
IX.중단사업의 당기순이익(손실) (주35),"(1,704,763,150)","(1,734,095,551)"
X.당기순이익(손실),,
지배기업소유주지분,"(543,570,394)",1218442244
비지배주주지분,11530458,"(11,191,544)"
XI.기타포괄손익,181382943,"(226,534,840)"
해외사업환산손익,181382943,"(226,534,840)"
XII.총포괄손익(손실),,
지배기업소유주지분,"(362,792,177)",992136062
비지배주주지분,12135184,"(11,420,202)"
XIII.주당손익 (주29),,
기본주당이익(손실) (단위 : 원),(45.00),250.0
희석주당이익(손실) (단위 : 원),(45.00),250.0
