Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액,4360982,6420312,4616107
매출원가,3861154,5520365,3950376
매출총이익,499828,899947,665731
판매비와관리비,113974,110329,92785
영업이익(손실),385854,789618,572946
금융수익,83092,97017,30118
금융원가,157057,150645,60049
지분법 적용대상인 관계기업과 공동기업의 당기순손익에 대한 지분,"(3,479)",18510,12639
기타영업외손익,"(59,921)","(66,533)","(5,296)"
법인세비용차감전순이익(손실),248489,687967,550358
법인세비용(수익),3448,10886,1053
당기순이익(손실),245041,677081,549305
기타포괄손익,55888,273347,267608
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),"(15,822)",39270,"(2,749)"
현금흐름위험회피파생상품평가손익,"(13,938)",45564,(898)
지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),(366),(402),(94)
해외사업장환산외환차이(세후기타포괄손익),"(1,518)","(5,892)","(1,757)"
당기손익으로 재분류되지 않는항목(세후기타포괄손익),71710,234077,270357
확정급여제도의 재측정손익(세후기타포괄손익),"(1,323)",966,88
"세후 기타포괄손익, 해외사업장환산을 제외한 외환차이",73033,233111,270269
총포괄손익,300929,950428,816913
당기순이익(손실)의 귀속,,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),245041,677081,549305
비지배지분에 귀속되는 당기순이익(손실),0,0,0
포괄손익의 귀속,,,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분",300929,950428,816913
"포괄손익, 비지배지분",0,0,0
주당이익,,,
기본주당이익(손실) (단위 : 원),458,1267,1028
희석주당이익(손실) (단위 : 원),458,1267,1028
