Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
순이자손익,7926564,7443686,6128420
이자수익,18364055,12602491,8689462
당기손익금융자산 이자수익,287686,203260,121215
기타포괄손익과 상각후원가금융자산 이자수익,18076369,12399231,8568247
이자비용,"(10,437,491)","(5,158,805)","(2,561,042)"
금융상품 이자비용,"(10,161,976)","(4,916,018)","(2,561,042)"
보험이자비용,"(275,515)","(242,787)",0
순수수료손익,476972,571798,631549
수수료수익,852249,905105,976754
수수료비용,"(375,277)","(333,307)","(345,205)"
당기손익금융상품 관련 순손익,828667,205840,505049
당기손익인식지정금융상품 관련 순손익,"(63,052)",22810,"(15,450)"
위험회피회계관련 순손익,8278,"(84,691)","(70,296)"
상각후원가금융자산 처분손익,217036,187232,251537
기타포괄손익금융자산 관련 순손익,104694,57885,94229
보험손익,35342,30705,"(146,559)"
보험수익,83550,79204,1264771
보험비용,"(48,208)","(48,499)","(1,411,330)"
외환거래손익,132157,345201,144430
총영업이익,9666658,8780466,7522909
금융자산 손상차손,"(2,076,147)","(1,485,508)","(940,428)"
순영업이익,7590511,7294958,6582481
일반관리비,"(2,685,598)","(2,613,050)","(2,598,935)"
기타영업수익,196338,187242,380575
기타영업비용,"(1,668,970)","(1,222,161)","(1,139,789)"
당기손익조정접근법 조정이익,0,0,6978
영업이익,3432281,3646989,3231310
영업외손익,60756,"(42,784)",86599
법인세차감전순이익,3493037,3604205,3317909
법인세비용,"(817,849)","(929,475)","(891,968)"
연결당기순이익,2675188,2674730,2425941
대손준비금 반영 후 조정이익,2601156,2357582,2227367
법인세비용차감후 연결기타포괄손익,291713,"(467,974)","(40,825)"
당기손익으로 재분류되지 않는 항목,,,
당기손익지정금융부채 평가손익변동,0,(581),46
기타포괄손익지분상품평가손익변동,"(134,939)",150262,"(39,933)"
순확정급여부채(자산)의재측정요소,"(101,777)",123734,73247
후속적으로 당기손익으로 재분류되는 항목,,,
기타포괄손익채무증권 평가손익변동,648303,"(700,616)","(150,482)"
관계기업투자에 대한 기타포괄손익의 변동,"(1,333)","(2,687)","(2,646)"
외환차이,38315,6435,129193
현금흐름위험회피 평가손익변동,11782,"(10,755)","(10,210)"
해외사업장순투자위험회피 평가손익변동,"(8,689)","(31,170)","(35,338)"
당기손익조정접근법 조정손익,0,0,"(4,702)"
보험금융손익,"(159,949)","(2,596)",0
연결총포괄이익,2966901,2206756,2385116
연결당기순이익의 귀속,,,
지배기업 주주지분 당기순이익,2669685,2667696,2412459
비지배지분 당기순이익,5503,7034,13482
연결총포괄이익의 귀속,,,
지배기업 주주지분 총포괄이익,2960320,2199740,2371126
비지배지분 총포괄이익,6581,7016,13990
지배기업 주주지분에 대한 주당이익,,,
기본주당이익 (단위 : 원),3162.0,3180.0,2877.0
희석주당이익 (단위 : 원),3162.0,3180.0,2877.0
