Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액,952282926124,1159605660284.0,1123843093974.0
매출원가,658821579432,823823650992.0,811238845616.0
매출총이익,293461346692,335782009292.0,312604248358.0
판매비와관리비,275119307492,270221507063.0,238268904202.0
영업이익,18342039200,65560502229.0,74335344156.0
기타수익,5739531689,1923386146.0,2213824322.0
기타비용,7412265401,16622163018.0,5174602659.0
금융수익,39822828856,72764402402.0,32704346885.0
금융비용,55867322409,80068251423.0,33908464324.0
법인세비용차감전순이익,624811935,43557876336.0,70170448380.0
법인세비용(수익),"(4,672,369,889)",14185745194.0,18512996005.0
당기순이익(손실),5297181824,29372131142.0,51657452375.0
지배기업 소유주지분,5297181824,29372131142.0,51657452375.0
비지배지분,0,0.0,0.0
기타포괄손익,4219024432,8424384760.0,35925122011.0
당기손익으로 재분류되지 않는 항목,,,
확정급여부채의 재측정요소,"(242,311,615)",692327028.0,2212735714.0
후속적으로 당기손익으로 재분류되는 항목,,,
해외사업장외화환산차이,4461336047,7732057732.0,33712386297.0
당기총포괄이익,9516206256,37796515902.0,87582574386.0
지배기업 소유주지분,9516206256,37796515902.0,87582574386.0
비지배지분,0,0.0,0.0
지배기업 소유주지분에 대한 주당이익,,,
기본주당순이익(손실) (단위 : 원),263.0,1507.0,3066.0
희석주당순이익(손실) (단위 : 원),261.0,1489.0,3008.0
