Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액,162663579,142151469,116448159.0
매출원가,129179183,113879569,94721313.0
매출총이익,33484396,28271900,21726846.0
판매비와관리비,18357495,18446972,15200325.0
영업이익,15126901,9824928,6526521.0
공동기업및관계기업투자손익,2470933,1557630,1302150.0
금융수익,1559538,985893,841196.0
금융비용,970700,879638,512836.0
기타수익,1782333,1930914,1377997.0
기타비용,2350343,2238256,1745985.0
법인세비용차감전순이익,17618662,11181471,7789043.0
법인세비용(수익),4626640,2979168,2266823.0
계속영업연결당기순이익,12992022,8202303,5522220.0
중단영업당기순이익(손실),"(719,721)","(218,689)",170857.0
연결당기순이익,12272301,7983614,5693077.0
당기순이익(손실)의 귀속,,,
지배기업소유주지분,11961717,7364364,4942356.0
비지배지분,310584,619250,750721.0
주당이익,,,
기본주당이익 (단위 : 원),,,
보통주기본주당이익(손실) (단위 : 원),45703,28521,18979.0
계속영업 보통주기본주당이익(손실) (단위 : 원),47622,29105,18521.0
중단영업 보통주기본주당이익(손실) (단위 : 원),"(1,919)",(584),458.0
1우선주 기본주당이익(손실) (단위 : 원),45535,28207,19002.0
계속영업 1우선주기본주당이익(손실) (단위 : 원),47445,28783,18545.0
중단영업 1우선주기본주당이익(손실) (단위 : 원),"(1,910)",(576),457.0
희석주당이익(손실) (단위 : 원),,,
보통주 희석주당이익 (단위 : 원),45703,28521,18979.0
1우선주 희석주당이익 (단위 : 원),45535,28207,19002.0
