Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,101724717,96389273,88565366
현금및현금성자산,19166619,20864879,12795554
단기금융상품,7339968,5774597,6949333
기타금융자산,2802611,5934745,12396646
매출채권,4682182,4279057,3147296
기타채권,3431169,4458689,4220970
재고자산,17400346,14291216,11645641
기타자산,3150939,2640553,2081853
당기법인세자산,195696,85867,47346
금융업채권,43120684,38037368,35252606
매각예정비유동자산,434503,22302,28121
비유동자산,180738638,159353189,145381049
장기금융상품,154966,112557,306410
기타금융자산,4423388,3889776,3539286
장기성매출채권,210979,179781,137157
기타채권,855015,821050,741168
기타자산,1970119,1550455,1191284
유형자산,38920900,36153190,35543083
투자부동산,146148,144450,156656
무형자산,6218585,6102377,5846986
공동기업 및 관계기업투자,28476142,25199437,22429117
순확정급여자산,488181,837502,219721
이연법인세자산,3604977,3237309,2224833
금융업채권,64566977,52326478,45776526
운용리스 자산,29664618,27681534,26327996
사용권자산,1037643,1117293,940826
자산총계,282463355,255742462,233946415
부채,,,
유동부채,73362103,74236472,64236787
매입채무,10952046,10797065,9155255
미지급금,8642808,8277891,6335645
단기차입금,9035548,11366480,13087836
유동성장기부채,25109158,25574131,20578902
당기법인세부채,1324720,1008506,751929
충당부채,7316877,8102596,6664647
기타금융부채,56712,99144,55187
기타부채,10577033,8600241,7440120
리스부채,224350,405053,167266
매각예정비유동부채,122851,5365,
비유동부채,107291812,90609445,87093839
장기성미지급금,616011,726115,769487
사채,73033493,62960060,63458809
장기차입금,17569760,12285149,10667731
순확정급여부채,77268,61861,79165
충당부채,4333841,4327985,4214137
기타금융부채,176399,262518,87258
기타부채,5212012,4252265,3344618
이연법인세부채,5438976,5027741,3689328
리스부채,834052,705751,783306
부채총계,180653915,164845917,151330626
자본,,,
지배기업소유주지분,92497311,82349287,74986122
자본금,1488993,1488993,1488993
자본잉여금,4378489,4241303,4070260
기타자본항목,"(1,197,084)","(1,713,928)","(1,968,385)"
기타포괄손익누계액,"(838,892)","(1,620,682)","(1,772,601)"
이익잉여금,88665805,79953601,73167855
비지배지분,9312129,8547258,7629667
자본총계,101809440,90896545,82615789
부채와자본총계,282463355,255742462,233946415
