Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액,3202331179495.0,3841372825700.0,3597777100369.0
매출원가,2841738883841.0,3319360599372.0,2961805108513.0
매출총이익,360592295654.0,522012226328.0,635971991856.0
판매비와관리비,155712545594.0,173010597914.0,167707473983.0
연구개발비,32505365983.0,33931315087.0,30954591637.0
영업이익,172374384077.0,315070313327.0,437309926236.0
기타수익,9778639696.0,12753609650.0,19112794373.0
기타비용,17154639520.0,43129147428.0,12364761445.0
금융수익,38134204752.0,101232785094.0,35266315625.0
금융비용,129792772497.0,172765556312.0,67525338253.0
법인세차감전순이익,73339816508.0,213162004331.0,411798936536.0
법인세비용,26084462471.0,52923633013.0,81775698977.0
당기순이익,47255354037.0,160238371318.0,330023237559.0
당기순이익(손실)의 귀속,,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),35551933087.0,125340084777.0,250696944978.0
비지배지분에 귀속되는 당기순이익(손실),11703420950.0,34898286541.0,79326292581.0
주당이익,,,
기본주당이익(손실) (단위 : 원),7957.0,28053.0,56109.0
