Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,357122003,312308264,315520300
"현금및현금성자산 (주4,29)",151066159,149136974,178313739
"매출채권 및 기타유동채권 (주6,21,28,29)",154480264,118610162,92873434
"기타유동금융자산 (주5,29,30)",26980528,16864352,12841214
"기타유동자산 (주7,30)",19224423,23358251,22155909
"유동재고자산 (주8,30)",5370629,4338525,9336004
비유동자산,85647885,88124137,84058662
"기타비유동금융자산 (주5,21,29,30)",335500,35500,1486433
장기매출채권 및 기타비유동채권,0,0,781429
순확정급여자산 (주19),1816081,1343420,0
"당기손익-공정가치측정금융자산 (주9,29)",6492453,1478697,905109
"기타포괄-공정가치측정금융자산 (주9,29)",13123959,18510773,9059565
관계기업에 대한 투자자산 (주10),12627490,15056235,18293306
유형자산 (주11),15724203,11814362,7248752
무형자산 (주12),5228626,5422296,4374193
사용권자산 (주13),4405471,8393392,14352133
기타비유동자산 (주7),13871543,14125635,15116308
이연법인세자산 (주26),7742960,7885760,8583288
"보증금 (주14,29)",4279599,4058067,3858146
자산총계,442769888,400432401,399578962
부채,,,
유동부채,167189930,148143804,169062186
"매입채무 및 기타유동채무 (주15,21,28,29)",23155953,20120072,17636271
기타 유동부채 (주16),21609147,17326975,15322762
선수금 (주17),112014869,98136102,118142503
"단기차입금 (주18,28,29)",1550000,1122413,3033013
지급보증충당부채,0,0,3522729
당기법인세부채 (주26),5083144,5761743,5431394
"유동 리스부채 (주13,28,29,30)",3776817,5676499,5973514
비유동부채,4356257,7918121,9948108
"비유동 리스부채 (주13,28,29,30)",958232,3333376,9166833
"장기차입금 (주18,28,29)",0,394792,400000
기타종업원장기급여,372747,330406,381275
금융부채-비지배지분 (주32),3025278,3859547,0
부채총계,171546187,156061925,179010294
자본,,,
지배기업의 소유주에게 귀속되는 자본,271190692,244371488,218638239
"자본금 (주1,22)",19406372,19406372,19406372
자본잉여금 (주22),21475660,21475660,20545395
자본조정 (주22),"(13,274,054)","(11,247,911)","(8,506,887)"
기타포괄손익누계액 (주22),"(188,522)",6579,"(4,735,872)"
이익잉여금(결손금) (주22),243771236,214730788,191929231
비지배지분 (주32),33009,"(1,012)",1930429
자본총계,271223701,244370476,220568668
자본과부채총계,442769888,400432401,399578962
