Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,3013495040,2432359833,2231920454
현금및현금성자산,1085800576,551570225,802834133
단기금융상품,5041104,5381589,16633125
매출채권 및 기타채권,437369916,490765783,363747684
재고자산,1406960510,1302795556,972840902
파생상품자산,125177,,
기타유동자산,78197757,79702338,64208997
매각예정자산,,2144342,11655613
비유동자산,5030365475,4865348822,5006290820
장기금융상품,1342247,2786887,3107495
장기투자증권,8581140,3517757,853675
장기매출채권 및 기타비유동채권,17475768,17419150,16074397
관계기업투자,4714113,4336956,42643724
유형자산,976400358,876907980,887693948
무형자산,3865879152,3794489708,3894786910
투자부동산,87080595,92578344,100617475
이연법인세자산,40106777,44296907,40593082
순확정급여자산,7250082,8842068,
기타비유동자산,21535243,20173065,19920114
자산총계,8043860515,7297708655,7238211274
부채,,,
유동부채,1869727804,1620376477,1263801365
매입채무 및 기타유동채무,1387587708,1204139835,910013318
단기차입금,48453514,42563526,17887666
유동성장기차입금,21995092,40063164,23849410
당기법인세부채,48740089,31387250,23801711
파생상품부채,1861013,,
유동 리스부채,32299902,28178536,19566464
충당부채,94697919,89543968,85704090
판매후리스부채,13393336,21699226,26095556
기타 유동부채,220699231,162800972,153823572
매각예정부채,,,3059578
비유동부채,1555850912,1712692655,2329310113
기타비유동채무,9043689,10094801,13687331
사채,,,296197196
장기차입금,850192156,932894625,1152488391
순확정급여부채,112043559,182444384,292136493
이연법인세부채,287827053,304633288,281871512
장기파생상품부채,434800,1050038,586091
비유동 리스부채,96735719,87372524,69075113
비유동충당부채,83508213,92123523,85989916
비유동판매후리스부채,38025726,39334329,66502005
기타 비유동 부채,78039997,62745143,70776065
부채총계,3425578716,3333069132,3593111478
자본,,,
지배기업 소유주지분,4618281799,3964639523,3645099796
자본금,43095528,43095528,43095528
자본잉여금,1479496483,2254870601,2254875266
기타자본구성요소,"(180,206,037)","(179,177,950)","(178,407,620)"
기타포괄손익누계액,"(247,208,643)","(318,615,934)","(200,924,057)"
이익잉여금,3523104468,2164467278,1726460679
자본총계,4618281799,3964639523,3645099796
자본과부채총계,8043860515,7297708655,7238211274
