Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,226105050063.0,185646939886.0,149603091959.0
현금및현금성자산,105722686626.0,56963266443.0,67412702090.0
단기금융자산,21547280000.0,3026440999.0,476697512.0
당기손익-공정가치 측정 금융자산,420614500.0,939022842.0,1024277000.0
매출채권,27337229558.0,53949432005.0,26457548851.0
대여금,340528898.0,502260011.0,521399567.0
기타금융자산,4220866528.0,2595435204.0,4531603733.0
기타유동자산,3582829171.0,4377112471.0,4163796207.0
당기법인세자산,24631820.0,200986285.0,6724210.0
재고자산,62908382962.0,63092983626.0,45008342789.0
비유동자산,141954761932.0,138026875855.0,114200179832.0
당기손익-공정가치 측정 금융자산,12889238138.0,8953932492.0,9720877874.0
매출채권,,79599924.0,766528750.0
대여금,265590180.0,327927482.0,834534106.0
기타금융자산,423398832.0,1088314891.0,216499233.0
유형자산,97996825143.0,95214201218.0,83977745779.0
사용권자산,2184013583.0,2273780377.0,1573302039.0
무형자산,13203050796.0,16512501279.0,6465350332.0
투자부동산,5822207814.0,5662069265.0,5845561127.0
이연법인세자산,8824837660.0,7583102008.0,4569140592.0
순확정급여자산,,20584475.0,
기타비유동자산,345599786.0,310862444.0,230640000.0
자산총계,368059811995.0,323673815741.0,263803271791.0
부채,,,
유동부채,98632098259.0,97359755426.0,60901916485.0
매입채무,6131583737.0,18043494880.0,15363519067.0
기타금융부채,11886750636.0,10278412127.0,5895720638.0
기타 유동부채,15534472711.0,18494494153.0,11347241445.0
당기법인세부채,11102333789.0,4128199348.0,7716187317.0
차입금,14200000000.0,11400000000.0,10000000000.0
유동성장기차입금,8016700000.0,2142400000.0,950000000.0
전환우선주부채,9040537037.0,8565071489.0,
파생상품부채,8282106826.0,8142372214.0,
리스부채,1002600289.0,1033592989.0,784033720.0
제품보증충당부채,13435013234.0,15131718226.0,8845214298.0
비유동부채,9312502924.0,14791858115.0,9536990443.0
기타금융부채,180000000.0,354000000.0,243740000.0
기타 비유동 부채,911884556.0,573661341.0,406173725.0
차입금,2165900000.0,9007600000.0,5850000000.0
리스부채,1190886949.0,1210007412.0,768980226.0
이연법인세부채,4154976.0,,
퇴직급여부채,,,222179856.0
제품보증충당부채,3906632900.0,3646589362.0,2045916636.0
파생상품부채,953043543.0,,
부채총계,107944601183.0,112151613541.0,70438906928.0
자본,,,
지배기업의 소유주지분,256918024496.0,210723997256.0,190661697399.0
자본금,8905016500.0,8905016500.0,8905016500.0
기타자본구성요소,45320893425.0,50903451400.0,54002853249.0
기타포괄손익누계액,583182401.0,646295846.0,489370953.0
이익잉여금,202108932170.0,150269233510.0,127264456697.0
비지배지분,3197186316.0,798204944.0,2702667464.0
자본총계,260115210812.0,211522202200.0,193364364863.0
자본과부채총계,368059811995.0,323673815741.0,263803271791.0
