Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31
"수익(매출액) (주24,33)",231425455,342201581
"매출원가 (주26,33)",153771165,188000000
매출총이익,77654290,154201581
"판매비와관리비 (주25,26)",16006867571,25976646156
영업손실,"(15,929,213,281)","(25,822,444,575)"
기타이익 (주27),74285985,196704333
기타손실 (주27),6807727,254151994
금융수익 (주28),310248451,49489742
금융비용 (주28),67641494221,22546568450
법인세비용차감전순이익(손실),"(83,192,980,793)","(48,376,970,944)"
법인세비용(수익) (주20),53994320,"(32,063,430)"
당기순이익(손실),"(83,246,975,113)","(48,344,907,514)"
기타포괄손익,"(81,056,536)",125398040
"당기손익으로 재분류되지 않는항목(세후기타포괄손익) (주16,17)","(113,684,365)",126845369
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),32627829,"(1,447,329)"
총포괄손익,"(83,328,031,649)","(48,219,509,474)"
당기순이익(손실)의 귀속,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),"(83,246,975,113)","(48,344,907,514)"
비지배지분에 귀속되는 당기순이익(손실),,
포괄손익의 귀속,,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분","(83,328,031,649)","(48,219,509,474)"
"포괄손익, 비지배지분",,
주당이익,,
기본주당이익(손실) (단위 : 원) (주29),"(27,310)","(24,046)"
희석주당이익(손실) (단위 : 원) (주29),"(27,310)","(24,046)"
