Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액,3587382453,3163343615,2872511952
매출원가,3122984003,2797911962,2619726786
매출총이익,464398450,365431653,252785166
판매비와관리비,254351856,217944984,172567201
영업손익,210046594,147486669,80217965
기타수익,82308356,99193218,113958966
기타비용,111691312,94560825,113620880
금융수익,47601139,28547869,14604570
금융비용,47230751,76639752,59731659
지분법손실,"(193,203)","(146,542)","(147,373)"
법인세비용차감전순이익,180840823,103880637,35281589
법인세비용(수익),24061845,"(90,653,616)","(16,130,012)"
연결당기순이익,156778978,194534253,51411601
기타포괄손익,"(1,273,413)",28691238,28493064
후속적으로 당기손익으로 재분류되지 않는 항목,"(11,286,185)",22594370,11778867
확정급여제도의 재측정요소,"(11,575,270)",18193056,12639884
기타포괄손익 공정가치 측정 금융자산 평가손익,289085,639987,"(861,017)"
토지의 재평가이익,,3761327,
후속적으로 당기손익으로 재분류될 수 있는 항목,10012772,6096868,16714197
파생상품평가손익,,1262933,"(1,262,932)"
해외사업장환산손익,10012772,4833935,17977129
당기총포괄손익,155505565,223225491,79904665
당기순손익의 귀속,,,
지배기업소유주지분,161027790,197797542,66508112
비지배주주지분,"(4,248,812)","(3,263,289)","(15,096,511)"
당기총포괄이익의 귀속,,,
지배기업소유주지분,159507589,227294805,87392199
비지배주주지분,"(4,002,024)","(4,069,314)","(7,487,534)"
주당손익,,,
기본및희석주당이익 (단위 : 원),1475.0,1812.0,609.0
