Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,87855152928,92097904098,77215647631
현금및현금성자산,10268701119,7868385838,8070892431
현금,0,0,0
현금성자산,10268701119,7868385838,8070892431
"정부보조금, 현금및현금성자산",0,0,"(50,616,343)"
단기금융상품,1068000000,1068000000,1158000000
매출채권 및 기타유동채권,43614584225,44725140095,37515650229
매출채권,38676945787,38414090079,34597344425
"대손충당금, 매출채권","(264,223,873)","(523,251,051)","(715,453,036)"
단기미수금,3941627940,3364667782,2418933765
단기미수수익,13328301,53435918,4325901
단기보증금자산,5622962,2534600000,0
단기선급금,418163522,641717961,975969115
단기선급비용,298248593,239879406,164530059
단기대여금,524870993,0,70000000
당기법인세자산,204242370,0,0
유동재고자산,31106936029,38436378165,30521721314
원재료,1320928106,3874326901,2163206986
부재료,1787753514,1697463589,1393851593
상품,2367631617,3429974740,1456184726
재공품,5293321621,4628434494,4955102712
"평가충당금, 재공품","(1,165,329,362)","(398,042,784)","(375,013,901)"
제품,11010345283,10537388118,10304697251
"평가충당금, 제품","(2,762,537,637)","(1,477,298,340)","(2,087,355,937)"
미착품,13254822887,16144131447,12711047884
기타유동금융자산,1592689185,0,0
유동당기손익인식지정금융자산,91316093,0,0
유동파생상품자산,1501373092,0,0
비유동자산,107480243220,95626857262,82219875666
장기금융상품,4000000,4000000,4000000
장기매출채권 및 기타비유동채권,521498463,409008062,111418814
장기보증금자산,521498463,409008062,111418814
장기대여금,,0,0
기타비유동수취채권,,0,0
유형자산,101618803737,91791417906,77160693903
"토지, 총액",14003872570,14003872570,14003872570
"건물, 총액",15326147242,15135147242,15006147242
"감가상각누계액, 건물","(7,537,153,839)","(7,125,665,220)","(6,722,796,230)"
구축물,1237258804,1133166367,1042366367
"감가상각누계액, 구축물","(836,234,825)","(760,825,529)","(692,526,848)"
"기계장치, 총액",118672416868,111720179109,98073973947
"감가상각누계액, 기계장치","(55,547,601,144)","(56,984,350,419)","(54,250,645,484)"
"정부보조금, 기계장치","(969,883,492)","(1,079,840,073)","(1,216,907,952)"
"차량운반구, 총액",1089460585,993562185,837390143
"감가상각누계액, 차량운반구","(821,524,606)","(720,149,675)","(636,306,034)"
공구와기구,28889547645,28517944995,26960118843
"감가상각누계액, 공구와기구","(20,057,557,670)","(20,442,158,054)","(18,275,413,141)"
"정부보조금, 공구와기구","(640,610,766)","(870,201,114)","(286,391,179)"
집기비품,1735148087,1637454768,1534177494
"감가상각누계액, 사무용비품","(1,430,278,873)","(1,305,205,014)","(1,174,722,828)"
"정부보조금, 사무용비품","(11,715,623)","(15,731,375)","(19,747,129)"
"건설중인자산, 총액",3576670591,3554709483,2515106657
사용권자산,4940842183,4399507660,462997465
영업권 이외의 무형자산,1049917888,1259400360,1071197614
특허권,177581605,227138425,276695245
회원권,296380000,296380000,296380000
"기타무형자산, 총액",965462078,1198253048,713242353
"정부보조금, 기타무형자산","(389,505,795)","(462,371,113)","(215,119,984)"
기타비유동금융자산,0,0,1608591072
최초인식시점 또는 그 이후에 지정된 비유동 당기손익인식금융자산,0,0,1608591072
이연법인세자산,4286023132,2163030934,2263974263
자산총계,195335396148,187724761360,159435523297
부채,,,
유동부채,107169267906,115258846143,85309274013
매입채무 및 기타유동채무,94269841913,115137166622,84617835046
단기매입채무,22576954734,23859841696,14307046934
단기미지급금,7060911659,4881009585,4926123188
단기미지급비용,3173992973,2296244914,1865093280
단기예수금,411075290,307509660,270584010
단기선수금,571505434,929059410,1318633299
유동 차입금,57284882990,68618742490,54955926237
비유동차입금의 유동성 대체 부분,2439074636,3628885000,4043324000
유동성사채,0,7996723594,0
유동성전환사채,0,0,2706429750
유동성상환우선주부채,0,1975672158,0
유동성금융리스부채,751444197,643478115,224674348
당기법인세부채,0,121679521,691007351
기타유동금융부채,12899425993,0,431616
유동파생상품부채,12899425993,0,431616
비유동부채,51538316710,33423372503,38343438661
장기매입채무 및 기타비유동채무,46885302915,27023787908,32529064148
장기미지급금,348412264,1153820218,579698379
장기차입금,20126049500,17046000000,21793885000
"사채, 명목금액",10600000000,5000000000,8000000000
사채할인발행차금,"(19,232,945)","(13,069,612)","(11,788,773)"
전환사채,20000000000,0,0
전환사채상환할증금,1024110066,0,0
전환사채전환권조정,"(10,656,000,279)",0,0
전환상환우선주부채,2999995950,0,0
전환상환우선주부채상환할증금,1886681333,0,0
전환상환우선주부채할인발행차금,"(3,780,955,817)",0,0
상환우선주부채,0,0,1500000000
상환우선주부채상환할증금,0,0,514827968
상환우선주부채할인발행차금,0,0,"(115,081,924)"
비유동금융리스부채,4356242843,3837037302,267523498
비유동충당부채,129358979,157867686,141570958
비유동판매보증충당부채,129358979,157867686,141570958
퇴직급여부채,4420989596,6224376581,5672803555
확정급여채무의현재가치,10602667584,9880207201,9270114173
사외적립자산의공정가치,"(6,181,677,988)","(3,655,830,620)","(3,597,310,618)"
이연법인세부채,102665220,17340328,0
기타 비유동 부채,0,0,0
부채총계,158707584616,148682218646,123652712674
자본,,,
지배기업의 소유주에게 귀속되는 자본,36627811532,39042542714,35782810623
자본금,10042907500,7845407500,7278193000
보통주자본금,9717907500,7520407500,6953193000
우선주자본금,325000000,325000000,325000000
자본잉여금,29374887004,18505851504,16300646888
주식발행초과금,29351167605,18482132105,16276927489
기타자본잉여금,23719399,23719399,23719399
기타자본구성요소,"(1,686,000,000)","(1,686,000,000)","(1,686,000,000)"
감자차손,"(1,686,000,000)","(1,686,000,000)","(1,686,000,000)"
기타포괄손익누계액,7248090716,7503405773,7496216205
재평가잉여금,7109267815,7109267815,7109267815
확정급여제도의 재측정손익,135210662,393184381,386948390
해외사업환산이익,3612239,953577,0
이익잉여금(결손금),"(8,352,073,688)",6873877937,6393754530
이익준비금,498075000,498075000,498075000
기타법정적립금,0,0,0
미처분이익잉여금(미처리결손금),"(8,850,148,688)",6375802937,5895679530
비지배지분,0,0,0
자본총계,36627811532,39042542714,35782810623
자본과부채총계,195335396148,187724761360,159435523297
