Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,2199162255,2350617095,2469739869
현금및현금성자산,427663865,393053277,446278565
유동 금융자산,30945844,95286733,75285166
매출채권 및 기타유동채권,581523695,619066045,721255128
유동재고자산,1059081536,1144713350,1013019217
유동 파생상품 금융자산,15186084,23591932,1322862
당기법인세자산,14758264,6033976,3617111
매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,,,142707011
기타유동자산,70002967,68871782,66254809
비유동자산,1097791118,1097969675,1089825995
비유동금융자산,426997,2000,3002000
매출채권 및 기타비유동채권,53658637,88641534,155208356
지분법적용 투자지분,225747,,
투자부동산,1462007,1543724,
유형자산,817299086,750154516,726150581
무형자산 및 영업권,92682802,122168739,135449510
사용권자산,29819317,34849786,19791144
확정급여자산,12691583,18669540,2685743
비유동파생상품자산,,391408,
이연법인세자산,57066946,52502178,32034726
기타비유동자산,32457996,29046250,15503935
자산총계,3296953373,3448586770,3559565864
부채,,,
유동부채,1014150486,1373720575,1499093241
유동금융부채,432066843,705714717,849394187
유동 리스부채,9600090,9800349,6509083
매입채무 및 기타유동채무,394595012,443000266,405120419
계약부채,94263187,74675896,74696890
유동충당부채,61033593,100163730,85129953
유동 파생상품 금융부채,794182,3152915,4985459
당기법인세부채,19130642,27328508,24677555
기타 유동부채,2666937,9884194,2895402
매각예정부채,,,45684293
비유동부채,511729556,407579253,512665052
비유동금융부채,357443149,257488483,411798468
비유동 리스부채,16114182,20187846,8833977
장기매입채무 및 기타비유동채무,6879485,13974567,22867924
비유동계약부채,29610103,28893926,22959102
확정급여부채,1644908,1418991,1269955
비유동충당부채,60918647,56550451,37270071
이연법인세부채,36136924,26374730,5277629
기타 비유동 부채,2982158,2690259,2387926
부채총계,1525880042,1781299828,2011758293
자본,,,
지배기업의 소유주에게 귀속되는 자본,1576470532,1463315798,1326732495
자본금,98503965,98503965,98503965
자본잉여금,803150290,803413382,783185635
자본조정,"(82,060,786)","(82,060,786)","(82,060,786)"
기타포괄손익누계액,151543911,140728766,118639881
이익잉여금(결손금),605333152,502730471,408463800
비지배지분,194602799,203971144,221075076
자본총계,1771073331,1667286942,1547807571
자본과부채총계,3296953373,3448586770,3559565864
