Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31
수익(매출액),41252744468,49163419144
매출원가,35805261695,42502338143
매출총이익,5447482773,6661081001
판매비와관리비,7024348880,7151803602
영업이익(손실),"(1,576,866,107)","(490,722,601)"
기타이익,697354616,541618508
기타손실,18543553,1400000
금융수익,2637235688,1400503494
금융원가,90349596,8971734
관계기업투자손익,247382661,126056972
법인세비용차감전순이익(손실),1896213709,1567084639
법인세비용(수익),361920124,306632753
당기순이익(손실),1534293585,1260451886
기타포괄손익,25496767,675390739
당기손익으로 재분류되지 않는항목(세후기타포괄손익),25496767,675390739
총포괄손익,1559790352,1935842625
당기순이익(손실)의 귀속,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),1559250554,1185922716
비지배지분에 귀속되는 당기순이익(손실),"(24,956,969)",74529170
포괄손익의 귀속,,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분",1584747321,1861313455
"포괄손익, 비지배지분","(24,956,969)",74529170
주당이익,,
기본주당이익(손실) (단위 : 원),78,59
희석주당이익(손실) (단위 : 원),78,59
