Accounts,2023.01.01~2023.12.31
매출액,2403014479969
매출원가,2211473051396
매출총이익,191541428573
판매비와관리비,152188205868
영업이익(손실),39353222705
금융수익,5666315615
금융비용,23754583073
기타수익,2999694030
기타비용,2378305532
법인세비용차감전순이익(손실),21886343745
법인세비용(수익),9292698859
당기순이익(손실),12593644886
기타포괄손익,3904044149
후속적으로 당기손익으로 재분류되지 않는 항목(세후기타포괄손익),3904044149
확정급여제도의 재측정요소,3904044149
총포괄손익,16497689035
당기순이익(손실)의 귀속,
지배기업의 소유주지분,12681799642
비지배지분,"(88,154,756)"
포괄손익의 귀속,
지배기업의 소유주지분,16589552358
비지배지분,"(91,863,323)"
주당이익,
보통주 기본주당순이익 (단위 : 원),196.0
우선주 기본 및 희석주당이익 (단위 : 원),196.0
