Accounts,2023.12.31
자산,
유동자산,269827343347
현금및현금성자산,47384299955
매출채권 및 기타유동채권,86290964469
기타금융자산,3304582850
재고자산,120917812029
기타유동자산,11049900534
당기법인세자산,879783510
비유동자산,534472180860
장기매출채권 및 기타채권,33594009495
순확정급여자산,1510622693
장기금융자산,6676509552
유형자산,232756625015
무형자산,58578741483
사용권자산,188358383858
기타비유동자산,9658624516
이연법인세자산,3338664248
자산총계,804299524207
부채,
유동부채,351372074700
매입채무 및 기타유동채무,61109145218
차입금 및 사채,211637438440
금융부채,28815832318
당기법인세부채,4469523023
충당부채,410480600
기타 유동부채,44929655101
비유동부채,262410431110
장기매입채무 및 기타채무,671000000
장기차입금 및 사채,74129052835
순확정급여부채,15115961430
장기금융부채,149824688146
기타 비유동 부채,16087659493
장기충당부채,813745073
이연법인세부채,5768324133
부채총계,613782505810
자본,
지배기업의 소유주에게 귀속되는 자본,190348727631
자본금,32616685000
자본잉여금,129038423416
이익잉여금(결손금),36589552358
기타자본,"(7,895,933,143)"
비지배지분,168290766
자본총계,190517018397
자본과부채총계,804299524207
