Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,116699764,163760061,183986577
현금및현금성자산,14259296,8396577,16229358
매출채권 및 기타유동채권,65666465,79332872,77741093
유동재고자산,33545216,69123283,82637139
기타유동금융자산,3228787,6907329,7378987
비유동자산,47526837,49887612,45416742
장기매출채권 및 기타비유동채권,1191120,5166652,5838917
유형자산,38022160,36953184,31671623
투자부동산,5180448,5253172,5325894
영업권 이외의 무형자산,1650785,1662853,1691015
이연법인세자산,118072,155258,453501
기타비유동금융자산,510685,381680,435792
파생금융자산,135234,267251,
순확정급여자산,718333,47562,
자산총계,164226601,213647673,229403319
부채,,,
유동부채,80064913,130774309,155191913
매입채무 및 기타유동채무,46498972,59914445,66252027
유동 차입금,27200000,65922345,85831929
유동성금융리스부채,130362,859609,1075166
유동성장기부채,3901100,1422800,1423100
당기법인세부채,799644,2560884,446645
파생금융부채,,,37812
유동충당부채,1534835,94226,125234
비유동부채,1516253,5588371,8102835
장기차입금,,3901100,5323900
비유동금융리스부채,1425060,1687271,2555965
퇴직급여부채,91193,,222970
부채총계,81581166,136362680,163294748
자본,,,
지배기업의 소유주에게 귀속되는 자본,82645435,77284993,66108571
자본금,34501614,34501614,34501614
자본잉여금,1724124,1724124,1724124
기타자본구성요소,"(163,350)","(163,350)","(163,350)"
기타포괄손익누계액,106955,211397,"(29,492)"
이익잉여금(결손금),46476092,41011208,30075675
자본총계,82645435,77284993,66108571
자본과부채총계,164226601,213647673,229403319
