Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
수익(매출액),255594471,371831316.0,314437329
매출원가,228886647,334630354.0,279190299
매출총이익,26707824,37200962.0,35247030
판매비와관리비,19528713,21219374.0,22021883
영업이익(손실),7179111,15981588.0,13225147
기타이익,337397,67478.0,73086
금융수익,1947735,549900.0,302590
금융원가,2610044,2906191.0,1601802
법인세비용차감전순이익(손실),6854199,13692775.0,11999021
법인세비용(수익),"(1,445,379)",2939538.0,391415
당기순이익(손실),5408820,10753237.0,11607606
기타포괄손익,"(48,378)",423184.0,95811
당기손익으로 재분류되지 않는항목(세후기타포괄손익),56064,182295.0,125303
확정급여제도의 재측정손익(세후기타포괄손익),56064,182295.0,125303
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),"(104,442)",240889.0,"(29,492)"
현금흐름위험회피손익(세후기타포괄손익),"(104,428)",240889.0,"(29,492)"
해외사업장환산외환차이,(14),,
총포괄손익,5360442,11176421.0,11703417
당기순이익(손실)의 귀속,,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),5408820,10753237.0,11607606
포괄손익의 귀속,,,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분",5360442,11176421.0,11703417
주당이익,,,
기본주당이익(손실) (단위 : USD),0.07,0.14,0.15
계속영업기본주당이익(손실) (단위 : USD),0.07,0.14,0.15
희석주당이익(손실) (단위 : USD),0.07,0.14,0.15
계속영업희석주당이익(손실) (단위 : USD),0.07,0.14,0.15
