Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,183637309706,231592368174,272648390793
현금및현금성자산,47517367204,54258906392,79185360194
매출채권,68759499596,70456941532,69396661742
기타수취채권,114787369,1144619674,186441299
미청구공사,16121263509,14313169258,16160810065
당기법인세자산,,329542152,470529617
기타단기금융자산,6810854902,7066275748,7194264755
재고자산,39186821071,76600745019,91501751679
기타유동자산,4617928009,6530539461,6630708010
파생상품자산,508788046,891628938,1921863432
매각예정비유동자산,80000000000,,
비유동자산,364463337546,292841951530,293528565796
유형자산,346233654803,251692334429,250544008520
투자부동산,5166153613,9149419550,9825799736
무형자산,1732190040,14917744518,14837309840
사용권자산,2461900168,1241135681,718784831
관계기업투자,871824603,834123180,366837625
기타장기금융자산,7294953461,5357959666,4822921653
기타비유동자산,702660858,1969174226,4441339126
이연법인세자산,,7680060280,7971564465
자산총계,628100647252,524434319704,566176956589
부채,,,
유동부채,343191449807,278933732249,305863900652
매입채무,44969004881,40407890896,47266809130
기타채무,15967099216,17382639582,17741298381
초과청구공사,2279094150,14124344983,17070815006
단기차입금,235811053121,197235158750,208742922299
당기법인세부채,1319687120,,
기타 유동부채,42616573196,8276888780,14877902648
파생상품부채,228938123,1506809258,164153188
비유동부채,53520256218,95054450039,92011540237
장기차입금,37118047190,88970122543,80919086627
기타장기금융부채,1263252676,538120000,2889816879
순확정급여부채,2625918168,4529130006,7682018677
이연법인세부채,10607982768,,
기타 비유동 부채,1905055416,1017077490,520618054
부채총계,396711706025,373988182288,397875440889
자본,,,
지배기업의 소유주에게 귀속되는 자본,236282822980,156051249008,173405571701
자본금,12607989000,12607989000,12607989000
자본잉여금,117188331953,117188331953,117188331953
이익잉여금,"(129,751,536,316)",32686124229,51521609413
기타자본구성요소,236238038343,"(6,431,196,174)","(7,912,358,665)"
비지배지분,"(4,893,881,753)","(5,605,111,592)","(5,104,056,001)"
자본총계,231388941227,150446137416,168301515700
자본과부채총계,628100647252,524434319704,566176956589
