Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,32083110520,30130809645,13555036973
현금및현금성자산,4400502623,3994767866,2137064211
기타유동금융자산,1836337720,1560185929,263912075
매출채권 및 기타유동채권,6089449758,5923430205,4618500416
유동계약자산,7423295856,6647001194,228672816
유동재고자산,9416327539,9470742395,6031871903
유동파생상품자산,217386128,287909655,38830711
유동확정계약자산,286127701,344839505,0
당기법인세자산,55294912,57206856,6308905
기타유동자산,2355588910,1841774389,224581070
매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,2799373,2951651,5294866
비유동자산,35899710368,35440051431,22223610950
지분법적용 투자지분,508518037,463638152,3322358926
기타비유동금융자산,373046274,342069016,150357657
장기매출채권 및 기타비유동채권,628505767,674420255,517082010
비유동계약자산,202618,0,0
투자부동산,285943800,293260165,10184069
유형자산,25052476031,24219899472,13268914223
사용권자산,1478800185,1671464172,1458034610
무형자산,4274584441,4374207422,3064296656
비유동파생상품자산,253605574,392249892,680653
비유동확정계약자산,178402603,292751459,0
이연법인세자산,2141285069,1916335155,393397271
기타비유동자산,724339969,799756271,38304875
자산총계,67982820888,65570861076,35778647923
부채,,,
유동부채,28532163119,26274593765,11685895014
기타유동금융부채,6171988125,6608404027,4254060831
유동 리스부채,328954227,339063132,257735033
매입채무 및 기타유동채무,8325568752,7864549381,5469811318
유동계약부채,12031175457,8211692735,662268235
유동파생상품부채,493137406,600485236,53389903
유동확정계약부채,78350473,92548274,0
당기법인세부채,184445768,589204970,391508540
유동충당부채,874805681,1919949568,509573714
기타 유동부채,43737230,48696442,87547440
비유동부채,16218820669,16032603272,12240689832
기타비유동금융부채,12161145623,11445027947,9414520184
비유동 리스부채,1278041147,1468691336,1257891787
장기매입채무 및 기타비유동채무,896325985,799552855,752678198
비유동계약부채,120124367,108862394,82258475
비유동 순확정급여부채,88179130,72241392,43952518
비유동충당부채,259376738,499406326,143973416
비유동파생상품부채,186032734,296707242,2996544
비유동확정계약부채,239249829,324974480,0
이연법인세부채,987362958,1014449040,540030785
기타 비유동 부채,2982158,2690260,2387925
부채총계,44750983788,42307197037,23926584846
자본,,,
지배기업의 소유주에게 귀속되는 자본,7327570339,7485246155,6303228593
자본금,81433085,81433085,81433085
자본잉여금,5252248660,5253322452,5233237943
기타자본구성요소,"(854,121,132)","(900,279,730)","(938,442,631)"
기타포괄손익누계액,408797867,396071752,240473152
이익잉여금(결손금),2439211859,2654698596,1686527044
비지배지분,15904266761,15778417884,5548834484
자본총계,23231837100,23263664039,11852063077
자본과부채총계,67982820888,65570861076,35778647923
