Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
수익(매출액),61331302785,60849668073,28353671478
매출원가,56366042540,54883097648,25736296657
매출총이익,4965260245,5966570425,2617374821
판매비와관리비,2933696658,2579562161,1580786444
영업이익(손실),2031563587,3387008264,1036588377
금융수익,2461748400,3805881226,468618831
금융원가,4081266825,5113661948,969406340
기타이익,1084811226,3007172313,130964697
기타손실,542770416,2126621381,150256627
지분법이익(손실),4162016,"(63,373,971)","(51,336,575)"
법인세비용차감전순이익(손실),958247988,2896404503,465172363
법인세비용(수익),172415782,661449490,314596540
당기순이익(손실),785832206,2234955013,150575823
기타포괄손익,"(220,309,887)",107745851,102172685
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),"(8,149,668)",44030992,112893362
현금흐름위험회피손익(세후기타포괄손익),"(33,699,445)",56417194,"(10,864,277)"
해외사업장환산외환차이(세후기타포괄손익),24575520,"(18,937,435)",152134003
지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),974257,6551233,"(28,376,364)"
당기손익으로 재분류되지 않는항목(세후기타포괄손익),"(212,160,219)",63714859,"(10,720,677)"
"세후기타포괄손익, 지분상품에 대한 투자자산",18021819,"(42,546,837)",3837324
확정급여제도의 재측정손익(세후기타포괄손익),"(243,769,792)",82433909,"(6,748,780)"
자산재평가손익(세후기타포괄손익),13838685,13827773,403442
지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),"(250,931)",10000014,"(8,212,663)"
총포괄손익,565522319,2342700864,252748508
당기순이익(손실)의 귀속,,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),264480508,1408623310,"(147,123,719)"
비지배지분에 귀속되는 당기순이익(손실),521351698,826331703,297699542
포괄손익의 귀속,,,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분",185846522,1466056788,"(143,926,683)"
"포괄손익, 비지배지분",379675797,876644076,396675191
주당이익,,,
기본주당이익(손실) (단위 : 원),3743,19933,"(2,082)"
