Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
"매출 (주17,18,30)",21330819,26151781,29878043
"매출원가 (주7,19,30)","(20,985,643)","(25,027,703)","(24,572,939)"
매출총이익,345176,1124078,5305104
"판매비 (주19,20)","(575,785)","(895,602)","(933,043)"
"관리비 (주19,20)","(899,902)","(931,117)","(919,409)"
연구개발비 (주19),"(1,379,653)","(1,382,406)","(1,222,044)"
영업이익(손실),"(2,510,164)","(2,085,047)",2230608
금융수익 (주23),1122294,873059,425835
금융비용 (주23),"(1,634,534)","(966,363)","(916,614)"
기타영업외수익 (주22),1472258,3185837,1252135
"기타영업외비용 (주19,22)","(1,786,234)","(4,446,414)","(1,280,859)"
지분법이익(손실) (주8),"(3,061)",5558,7780
법인세비용차감전순이익(손실),"(3,339,441)","(3,433,370)",1718885
법인세비용(수익) (주24),"(762,712)","(237,785)",385341
당기순이익(손실),"(2,576,729)","(3,195,585)",1333544
기타포괄손익,70306,40947,701612
후속기간에당기손익으로재분류되지않는항목,49987,122393,"(163,447)"
"순확정급여부채의 재측정요소 (주13,24)",49817,122361,"(163,363)"
"관계기업의 기타포괄손익에 대한 지분 (주8,13,24)",170,32,(84)
후속기간에당기손익으로재분류되는항목,20319,"(81,446)",865059
해외사업환산손익 (주24),23143,"(80,963)",869789
"파생상품평가손익 (주16,24)",0,9227,"(9,227)"
"관계기업의 기타포괄손익에 대한 지분 (주8,24)","(2,824)","(9,710)",4497
총포괄이익(손실),"(2,506,423)","(3,154,638)",2035156
당기순이익(손실)의 귀속,,,
지배기업 소유주지분,"(2,733,742)","(3,071,565)",1186182
비지배지분,157013,"(124,020)",147362
총 포괄이익(손실)의 귀속,,,
지배기업 소유주지분,"(2,647,407)","(3,006,686)",1723323
비지배지분,140984,"(147,952)",311833
주당이익,,,
기본주당이익(손실) (단위 : 원) (주26),"(7,640.0)","(8,584.0)",3315.0
희석주당이익(손실) (단위 : 원) (주26),"(7,640.0)","(8,584.0)",3130.0
