Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,2799391799,2724476086,2046698160
현금및현금성자산,310040894,490143854,400370959
단기금융자산 (주6),39080729,53001726,124527770
매출채권및기타채권 (주8),164823670,87030570,47534346
계약자산 (주8),1442687050,1301215858,900692635
파생상품자산 (주20),15804985,29527186,1664046
확정계약자산 (주20),32987048,43068570,28787909
재고자산,230175930,292593548,265534013
기타유동자산,563791493,427894774,277586482
비유동자산,2109679634,2023769413,1831622123
장기금융자산 (주6),14457656,15458976,13354462
장기매출채권및기타채권 (주8),10322183,7243580,6415155
유형자산,1756830168,1702071855,1636392642
무형자산,14726124,8876191,1758942
사용권자산,22300495,16955203,15414187
파생상품자산 (주20),15623770,19316965,1247581
확정계약자산 (주20),13771644,24761829,31692049
이연법인세자산,172186418,135722092,117765285
기타비유동자산,89461176,93362722,7581820
자산총계,4909071433,4748245499,3878320283
부채,,,
유동부채,2735399724,2499086891,1612004353
단기금융부채 (주17),478561145,107721167,169155802
매입채무및기타채무 (주15),567411375,687506077,519472562
계약부채,1557774394,1454465263,602513942
단기충당부채,74195599,144586983,272843106
단기리스부채,4239090,1716810,1454347
파생상품부채 (주20),44329512,88928222,45317101
확정계약부채 (주20),8888464,13992424,1159814
기타유동부채,145,169945,87679
비유동부채,158458472,73894852,62017134
장기금융부채 (주17),95671499,,
장기매입채무및기타채무 (주15),71776,5725,41193
순확정급여부채 (주15),11390813,11782494,12542054
장기충당부채,6668346,8186330,7940498
장기리스부채,13855066,9841509,8553759
파생상품부채 (주20),13771644,24761829,31692049
확정계약부채 (주20),15623769,19316965,1247581
이연법인세부채,1405559,,
부채총계,2893858196,2572981743,1674021487
자본,,,
지배기업의 소유주에게 귀속되는 자본,1970119879,2134813316,2163672009
자본금 (주21),199710745,199710745,199710745
자본잉여금 (주21),82290267,82290267,82290267
자본조정 (주21),"(40,862,596)","(40,862,596)","(40,862,596)"
기타포괄손익누계액 (주22),300547414,293896437,289159980
이익잉여금(결손금) (주23),1428434049,1599778463,1633373613
비지배지분,45093358,40450440,40626787
자본총계,2015213237,2175263756,2204298796
자본과부채총계,4909071433,4748245499,3878320283
