Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,28859296,29674369,20413820
"현금및현금성자산 (주3,5,6)",9084899,8497882,3760834
"매출채권 (주3,5,7,31)",8082952,7450395,6386979
"기타수취채권 (주3,5,7,31)",682178,742431,1048549
"기타유동금융자산 (주3,5,8)",141428,9167,23289
선급법인세,86032,52920,156299
기타유동자산 (주13),1211374,1013463,749032
재고자산 (주9),9375327,11880631,8283474
매각예정자산 (주34),195106,27480,5364
비유동자산,48607398,38299454,30721482
"장기매출채권 (주3,5,7)",129996,120698,67055
"기타장기수취채권 (주3,5,7)",427693,617444,713166
"기타비유동금융자산 (주3,5,8)",1228501,1237167,506022
"관계기업 및 공동기업투자자산 (주1,10,33)",1005606,949553,535310
이연법인세자산 (주28),2308966,2165557,1905149
유형자산 (주11),38950393,29662743,24378259
무형자산 (주12),3692922,2690203,2444303
투자부동산 (주36),88950,94026,56297
"기타비유동자산 (주13,16)",774371,762063,115921
자산 총계,77466694,67973823,51135302
부채,,,
유동부채,18390839,16459563,15062096
"매입채무 (주3,5,31)",4117913,4756246,3742132
"기타지급채무 (주3,5,31)",4905081,4899553,3991784
"차입금 (주3,5,14)",7077782,3804367,3477080
"기타유동금융부채 (주3,5,8)",523910,7271,0
유동성충당부채 (주15),546950,1026446,1572755
미지급법인세,45304,626226,957676
"기타유동부채 (주17,35)",1146844,1339454,1320669
매각예정으로 분류된 처분집단의 부채 (주34),27055,0,0
비유동부채,18137670,14033133,12863218
"기타장기지급채무 (주3,5)",33418,43708,15623
"차입금 (주3,5,14)",14850332,12160152,11288654
"기타비유동금융부채 (주3,5,8)",99950,33319,126
비유동성충당부채 (주15),887775,533414,636953
"순확정급여부채 (주13,16)",11879,19470,18122
이연법인세부채 (주28),735326,838725,713862
"기타비유동부채 (주17,35)",1518990,404345,189878
부채 총계,36528509,30492696,27925314
자본,,,
지배기업의 소유주지분,32192605,31450572,21693784
"자본금 (주1,19)",391406,391406,391406
자본잉여금 (주19),11572098,11569556,2696385
기타자본항목 (주21),"(19,569)","(19,569)","(37,310)"
기타포괄손익누계액,598038,366916,551354
이익잉여금 (주20),19650632,19142263,18091949
비지배지분 (주1),8745580,6030555,1516204
자본총계,40938185,37481127,23209988
부채와 자본 총계,77466694,67973823,51135302
