Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
당기순이익,2053425,2195518,3953904
기타포괄손익,264931,"(60,934)",847168
당기손익으로 재분류되지 않는 항목,"(210,884)",113345,40176
순확정급여부채의 재측정요소 (주16),"(67,408)",193125,37871
기타포괄손익-공정가치 금융자산 손익,"(222,998)","(51,355)",15990
관계기업 순확정급여부채의 재측정요소에 대한 지분,(619),(307),(234)
기타포괄손익 법인세효과,80141,"(28,118)","(13,451)"
후속적으로 당기손익으로 재분류될 수 있는 항목,475815,"(174,279)",806992
해외사업장환산외환차이,455653,"(159,601)",769186
현금흐름위험회피,"(17,203)",6021,"(18,083)"
관계기업 및 공동기업 기타포괄손익에 대한 지분,25036,17304,14724
공동기업 기타포괄손익 중 처분으로 인한 재분류,"(2,617)",0,0
기타포괄손익 법인세효과,14946,"(38,003)",41165
총포괄손익,2318356,2134584,4801072
포괄손익의 귀속,,,
지배기업의 소유주지분,1522326,1800935,4413552
비지배지분,796030,333649,387520
