Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,79949749958,61438858665,46963204394.0
현금및현금성자산,18787298375,6591276123,6405025686.0
매출채권,22698523390,22318790883,14896399589.0
단기금융상품,458813741,1184308221,3338813741.0
기타유동금융자산,187319887,38046105,92506043.0
기타유동자산,4297497330,3761282937,3100144559.0
유동재고자산,33432930644,27545154396,18984312080.0
당기법인세자산,87366591,0,146002696.0
비유동자산,50209563948,49921018860,47813283486.0
장기금융상품,15300000,11700000,488100000.0
당기손익-공정가치 측정 금융자산,,700000000,
기타비유동금융자산,747025620,145289545,109842985.0
유형자산,42073003637,42211015536,41031681058.0
사용권자산,1209338011,841332076,774919338.0
투자부동산,4746859676,4829128093,4733157143.0
무형자산,241886370,319729578,382998240.0
이연법인세자산,1035009452,675968096,292584722.0
기타비유동자산,141141182,186855936,
자산총계,130159313906,111359877525,94776487880.0
부채,,,
유동부채,61706876201,50421519311,42239460400.0
매입채무,6505885366,9423651533,8404733985.0
차입금,51036750894,35760012679,30588097196.0
기타금융부채,1500249649,2552924603,1593488906.0
기타부채,2204791440,1432268663,1354255726.0
리스부채,288782975,38900772,10379550.0
당기법인세부채,,976804057,86667870.0
유동충당부채,170415877,236957004,201837167.0
비유동부채,10978210063,7011052796,5905616705.0
장기차입금,6707807578,3956982439,2865457585.0
기타비유동금융부채,1749830743,1509988509,1396243883.0
비유동금융리스부채,195081571,45414743,9080064.0
퇴직급여부채,2037102574,1259392165,1385730056.0
비유동종업원급여충당부채,288387597,239274940,249105117.0
기타 비유동 부채,,,
부채총계,72685086264,57432572107,48145077105.0
자본,,,
지배기업의 소유주에게 귀속되는 자본,,,
자본금,6667369500,6667369500,2222456500.0
주식발행초과금,15554788040,15554788040,20034936760.0
기타포괄손익누계액,71734355,174863720,15399670.0
기타자본항목,"(655,759,597)","(1,126,154,015)",781538317.0
이익잉여금(결손금),35836095344,32656438173,23577079528.0
자본총계,57474227642,53927305418,46631410775.0
자본과부채총계,130159313906,111359877525,94776487880.0
