Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
당기순이익(손실),"(77,723,948,483)","(210,444,243,116)",7263148591.0
기타포괄손익,"(3,485,070,893)","(3,405,506,710)",1980089671.0
후속적으로 당기손익으로 재분류되는 포괄손익,0,"(206,688,988)",0.0
관계기업 투자관련 기타포괄손익에 대한 지분변동,0,"(206,688,988)",0.0
해외사업장환산외환차이(세후기타포괄손익),0,0,0.0
후속적으로 당기손익으로 재분류되지 않은 포괄손익,"(3,485,070,893)","(3,198,817,722)",1980089671.0
순확정급여제도의 재측정손익,"(4,101,665,893)","(4,064,458,541)",1877940871.0
자산재평가손익(세후기타포괄손익),616595000,865640819,102148800.0
총포괄손익,"(81,209,019,376)","(213,849,749,826)",9243238262.0
포괄손익의 귀속,,,
지배회사 소유주지분,"(81,209,019,376)","(213,849,749,826)",9243238262.0
비지배지분,0,0,0.0
