Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
수익(매출액),133754858967,110542085508,81334434507
매출원가,128803883487,105254237304,81340022874
매출총이익,4950975480,5287848204,"(5,588,367)"
판매비와관리비,4157044417,5722459897,5103961360
영업이익(손실),793931063,"(434,611,693)","(5,109,549,727)"
금융수익,685618828,499398889,6488344237
금융비용,1172799824,1338643921,1136334944
영업외이익,462858015,393163168,499345733
영업외비용,335604684,100349187,245017405
법인세비용차감전순이익(손실),434003398,"(981,042,744)",496787894
법인세비용(수익),28819549,135887131,42928431
당기순이익(손실),405183849,"(1,116,929,875)",453859463
지배기업의 소유주에게 귀속되는 당기순이익(손실),405183849,"(1,116,929,875)",453859463
기타포괄손익,"(70,820,378)","(503,704,677)",925244906
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),"(2,283,476)","(18,343,921)",73451806
해외사업장환산외환차이(세후기타포괄손익),"(2,283,476)","(18,343,921)",73451806
당기손익으로 재분류되지 않는항목(세후기타포괄손익),"(68,536,902)","(485,360,756)",851793100
자산재평가손익(세후기타포괄손익),"(68,536,902)","(485,360,756)",851793100
당기손익으로 재분류되지 않는 항목과 관련된 법인세,,,
총포괄손익,334363471,"(1,620,634,552)",1379104369
주당이익,,,
기본주당이익(손실) (단위 : 원),2,(122),6
희석주당이익(손실) (단위 : 원),2,(122),6
