Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
당기순이익,988718,1387663,1459395
기타포괄손익,7447,"(2,194)",165567
후속적으로 당기손익으로 재분류되지 않는 항목,"(16,299)",39153,199116
순확정급여부채의 재측정요소 (주17),"(137,465)",181429,55822
관계기업및공동기업 순확정급여부채의 재측정요소에 대한 지분,(105),(332),"(1,596)"
기타포괄손익-공정가치 측정 지분상품의 평가손익 (주4),121271,"(141,944)",144890
후속적으로 당기손익으로 재분류되는 항목,23746,"(41,347)","(33,549)"
기타포괄손익-공정가치 측정 채무상품의 평가손익 (주4),534,"(16,630)","(15,110)"
"위험회피파생상품의 평가 (주4,7)",15329,64091,141855
위험회피파생상품의 기타포괄손익 중 당기손익에 포함된 재분류 조정 (주4),"(37,942)","(95,421)","(136,583)"
관계기업 및 공동기업의 기타포괄손익에 대한 지분,21595,"(10,851)","(24,216)"
해외사업장환산외환차이,24230,17464,505
당기총포괄이익,996165,1385469,1624962
총 포괄손익의 귀속,,,
지배기업 소유주지분,1013535,1236679,1510373
비지배지분,"(17,370)",148790,114589
