Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액,17589887709510,15421058082388,10990890215857
매출원가,14572886225647,12865180742482,9157134165228
매출총이익,3017001483863,2555877339906,1833756050629
판매비와 관리비,1549683145739,1449756471669,964392551948
영업이익,1467318338124,1106120868237,869363498681
금융손익,"(267,951,275,483)","(477,602,183,965)","(279,995,778,898)"
금융수익,595111219960,747016336410,691480829958
금융비용,863062495443,1224618520375,971476608856
기타영업외손익,"(422,197,685,877)","(584,511,751,885)","(45,511,580,122)"
기타영업외수익,49303777557,158643957813,65803436702
기타영업외비용,471501463434,743155709698,111315016824
지분법이익(손실),"(38,687,621,670)","(230,486,284,587)",20071234689
법인세비용차감전순이익,738481755094,"(186,479,352,200)",563927374350
법인세비용(수익),220959852052,146997419221,94565550051
계속영업이익,517521903042,"(333,476,771,421)",469361824299
중단영업손실,0,"(119,673,094,128)",176459322331
당기순이익(손실),517521903042,"(453,149,865,549)",645821146630
당기순이익(손실)의 귀속,,,
지배기업 소유주지분,55597965382,"(772,492,598,021)",495274322486
비지배지분,461923937660,319342732472,150546824144
지배기업 소유주지분 주당손익,,,
기본주당이익(손실) (단위 : 원),87,"(1,249)",1090
계속영업기본주당이익(손실) (단위 : 원),87,"(1,056)",596
중단영업기본주당이익(손실) (단위 : 원),,(193),494
희석주당이익(손실) (단위 : 원),87,"(1,249)",1070
계속영업희석주당이익(손실) (단위 : 원),87,"(1,056)",585
중단영업희석주당이익(손실) (단위 : 원),,(193),485
