Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
현금및현금성자산,30556618,34219148,20613073
당기손익-공정가치측정금융자산,21544756,19860573,13497234
기타포괄손익-공정가치측정금융자산,37891495,33085080,39119789
상각후원가측정유가증권,23996172,28268516,17086274
상각후원가측정대출채권및기타금융자산,373148148,355760729,348885617
공동기업및관계기업투자자산,1795370,1305636,1335167
투자부동산,472768,387707,389495
유형자산,3176759,3142930,3174720
무형자산,996842,849114,785386
매각예정자산,20345,13772,26327
순확정급여자산,240260,319280,21346
당기법인세자산,203542,53274,22598
이연법인세자산,93366,109299,31131
파생상품자산(위험회피목적),26708,37786,106764
기타자산,3841787,3061552,2088950
자산총계,498004936,480474396,447183871
자본과 부채,,,
부채,,,
당기손익-공정가치측정금융부채,6138313,8952399,4873458
예수부채,357784297,342105209,317899871
차입부채,30986746,28429603,24755459
발행사채,41239245,44198486,44653864
충당부채,806031,545865,576134
순확정급여부채,6939,35202,47986
당기법인세부채,103655,843555,584491
이연법인세부채,470311,31799,186946
파생상품부채(위험회피목적),153007,202911,27584
기타금융부채,26115005,22811868,24171030
기타부채,803897,690157,556853
부채총계,464607446,448847054,418333676
자본,,,
지배기업 소유주 지분,31666881,28761897,25842019
자본금,3802676,3640303,3640303
신종자본증권,3611129,3112449,2294381
자본잉여금,935563,682385,682385
기타자본,"(1,668,957)","(2,423,392)","(2,167,614)"
이익잉여금,24986470,23750152,21392564
비지배지분,1730609,2865445,3008176
자본총계,33397490,31627342,28850195
자본과부채총계,498004936,480474396,447183871
