Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액,48310286065,50851627123,51482022625
매출원가,42600212156,41239295677,47357212878
매출총이익(손실),5710073909,9612331446,4124809747
판매비와관리비,8601061422,7000735661,6993910905
영업이익(손실),"(2,890,987,513)",2611595785,"(2,869,101,158)"
기타수익,3176361654,5349506612,5436215178
기타비용,4041682675,9779655626,16327443220
금융수익,5406275637,4041444219,359730522
금융비용,9499291636,18134580331,13775265338
법인세비용차감전순이익(손실),"(7,849,324,533)","(15,911,689,341)","(27,175,864,016)"
법인세비용(수익),185222100,,"(336,767,454)"
당기순이익(손실),"(7,664,102,433)","(15,911,689,341)","(27,512,631,470)"
기타포괄손익,"(90,288,838)",336693468,1212031904
후속적으로 당기손익으로 재분류되지 않는 항목,"(246,381,860)","(130,251,959)","(12,349,334)"
순확정급여부채의 재측정요소,"(246,381,860)","(130,251,959)","(12,349,334)"
후속적으로 당기손익으로 재분류될 수 있는 항목,156093022,466945427,1224381238
해외사업환산손익,156093022,466945427,1224381238
총포괄손익,"(7,754,391,271)","(15,574,995,873)","(26,300,599,566)"
당기순손실의 귀속,,,
지배기업소유주,"(7,664,051,521)","(15,911,496,294)","(27,512,127,658)"
비지배지분,"(50,912)","(193,047)","(503,812)"
총 포괄손익의 귀속,,,
지배기업소유주,"(7,754,340,359)","(15,574,802,826)","(26,300,095,754)"
비지배지분,"(50,912)","(193,047)","(503,812)"
주당이익,,,
기본주당손실 (단위 : 원),(43.0),(91.0),(185.0)
희석주당손실 (단위 : 원),(43.0),(91.0),(185.0)
