Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,40800645684.0,26011137025.0,19620777415
현금및현금성자산,25947673605.0,5742009681.0,4889586871
매출채권 및 기타유동채권,11519477940.0,16222972695.0,12286605984
기타유동금융자산,96760231.0,177001972.0,179024539
기타유동자산,572098509.0,490812375.0,219978318
유동재고자산,2664635399.0,3184294135.0,1882956817
당기법인세자산,,194046167.0,162624886
매각예정비유동자산,,1449646130.0,1449646130
비유동자산,29691417861.0,25636736807.0,24591934511
기타비유동금융자산,3586582055.0,1293777123.0,1350567867
장기매출채권 및 기타비유동채권,,47886960.0,
유형자산,23572073122.0,23578330609.0,22583454454
투자부동산,1358301482.0,,
무형자산,122725958.0,140841032.0,3016555
사용권자산,944346258.0,460084919.0,574580547
이연법인세자산,107388986.0,115816164.0,80315088
자산총계,70492063545.0,53097519962.0,45662358056
부채,,,
유동부채,18284736860.0,27414482620.0,18305981772
매입채무 및 기타유동채무,3909721243.0,6030979590.0,2660581463
차입금,10415485140.0,10034084890.0,5042001124
유동성장기부채,1566415744.0,1697021437.0,4710980000
기타유동금융부채,1028532261.0,1420151018.0,1017418899
기타 유동부채,572349069.0,957046153.0,583572697
유동성전환사채,,5061211270.0,
유동성전환상환우선주부채,,,1062553747
유동파생상품부채,,2016395273.0,2910209044
유동 리스부채,312041653.0,197235784.0,256328295
당기법인세부채,480191750.0,357205.0,62336503
비유동부채,4360184844.0,7483796771.0,22403375219
장기차입금,3388176061.0,7076667372.0,8087643507
기타비유동금융부채,30000000.0,,
전환사채,,,4594884157
전환상환우선주부채,,,4555364894
비유동파생상품부채,,,4718811783
비유동 리스부채,645492964.0,243361140.0,277623731
이연법인세부채,296515819.0,163768259.0,169047147
부채총계,22644921704.0,34898279391.0,40709356991
자본,,,
지배기업의 소유주에게 귀속되는 자본,47847141841.0,18199240571.0,4953001065
자본금,3464075500.0,2612733500.0,2000000000
자본잉여금,39196639577.0,14071578097.0,2897902500
기타자본구성요소,74662759.0,178042759.0,104874502
기타포괄손익누계액,969239489.0,365206382.0,494721366
이익잉여금(결손금),4142524516.0,971679833.0,"(544,497,303)"
비지배지분,,,
자본총계,47847141841.0,18199240571.0,4953001065
자본과부채총계,70492063545.0,53097519962.0,45662358056
