Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
수익(매출액),1520162115494,1374893317788,1195036447011
매출원가,1314306258112,1238716660142,1023649178315
매출총이익,205855857382,136176657646,171387268696
판매비와관리비,101189755768,94054717332,70262858231
영업이익(손실),104666101614,42121940314,101124410465
금융수익,39627911253,59028748049,45280476604
금융원가,93578829957,99879543670,59360935049
지분법손익,"(3,927,271,984)","(2,366,536,078)",1231656448
기타이익,1910726769,11880056546,8714423964
기타손실,25766194580,21281963975,6253633953
순화폐성자산에 대한 이익(손실),987492122,15124044389,
법인세비용차감전순이익(손실),23919935237,4626745575,90736398479
법인세비용(수익),4983632933,10260627453,24846534607
계속영업이익(손실),18936302304,"(5,633,881,878)",65889863872
중단영업이익(손실),,"(1,307,347,164)","(1,161,209,797)"
당기순이익(손실),18936302304,"(6,941,229,042)",64728654075
당기순이익(손실)의 귀속,,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),19874952445,1907394808,66200024273
지배기업의 소유주에게 귀속될 계속영업손익,19874952445,3201537766,67349505851
지배기업의 소유주에게 귀속될 중단영업손익,,"(1,294,142,958)","(1,149,481,578)"
비지배지분에 귀속되는 당기순이익(손실),"(938,650,141)","(8,848,623,850)","(1,471,370,198)"
비지배지분에 귀속될 계속영업이익(손실),"(938,650,141)","(8,835,419,644)","(1,459,641,979)"
비지배지분에 귀속될 중단영업이익(손실),,"(13,204,206)","(11,728,219)"
기타포괄손익,16096454351,40780464532,35260715391
후속적으로 당기손익으로 재분류되지 않는 항목,5640367494,27191180411,43713428428
확정급여제도의 재측정효과,132587340,"(1,093,983,786)",799740253
표시통화환산손익,5507780154,28285164197,42913688175
후속적으로 당기손익으로 재분류될 수 있는 항목,10456086857,13589284121,"(8,452,713,037)"
기타포괄손익-공정가치측정금융자산평가손익,"(225,574,715)",,
지분법자본변동,"(576,670,476)","(153,975,566)",577850044
현금흐름위험회피파생상품평가손익,"(1,412,619,750)",,
해외사업환산손익,12670951798,13743259687,"(9,030,563,081)"
총포괄손익,35032756655,33839235490,99989369466
포괄손익의 귀속,,,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분",36271128583,42229687240,99029941599
계속영업 총포괄손익,36271128583,42169107875,99526755018
중단영업 총포괄손익,,60579365,"(496,813,419)"
"포괄손익, 비지배지분","(1,238,371,928)","(8,390,451,750)",959427867
주당이익,,,
기본주당이익(손실) (단위 : 원),,,
계속영업기본주당이익(손실) (단위 : 원),480,77,1625
중단영업기본주당이익(손실) (단위 : 원),,(31),(28)
희석주당이익(손실) (단위 : 원),,,
계속영업희석주당이익(손실) (단위 : 원),480,77,1625
중단영업희석주당이익(손실) (단위 : 원),,(31),(28)
