Accounts,2023.01.01~2023.12.31,2022.09.01~2022.12.31
당기순이익(손실),10794348785,"(7,039,642,699)"
기타포괄손익,"(1,736,232,390)","(5,283,387,645)"
당기손익으로 재분류되지 않는 항목(세전기타포괄손익),11622394,326798881
확정급여제도의 재측정손익(세전기타포괄손익),"(163,301,630)",326798881
매도가능금융자산평가손익(세전기타포괄손익),174924024,0
지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세전기타포괄손익),0,0
당기손익으로 재분류될 수 있는 항목(세전기타포괄손익),"(1,747,854,784)","(5,610,186,526)"
해외사업장환산외환차이(세전기타포괄이익),"(1,747,854,784)","(5,610,186,526)"
지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세전기타포괄손익),0,0
총포괄손익,9058116395,"(12,323,030,344)"
포괄손익의 귀속,,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분",9893665473,"(10,888,432,239)"
"포괄손익, 비지배지분","(835,549,078)","(1,434,598,105)"
