Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
수익(매출액),576519652360,664143679914,454523692263
매출원가,510155408709,587912286099,402580360785
매출총이익,66364243651,76231393815,51943331478
판매비,17862453242,14870970949,15487111939
관리비,32317513396,32476908644,24754631214
경상연구개발비,8826889621,7862486261,9314989614
영업이익(손실),7357387392,21021027961,2386598711
금융이익,2137126057,3029054073,864174673
금융원가,13044770243,11501058923,7539851318
관계기업투자평가손익,9558623719,28185997146,128463172
관계기업투자처분손익,"(7,812,069)",0,0
종속기업투자처분손익,96290770,"(313,178,296)",0
기타영업외이익,11510423319,11314215903,3337296014
기타영업외비용,3203263083,4243241965,16713953881
법인세비용차감전순이익(손실),14404005862,47492815899,"(17,537,272,629)"
법인세비용(수익),"(854,867,903)",10704645841,"(1,675,543,085)"
계속영업당기순이익(손실),15258873765,36788170058,"(15,861,729,544)"
중단영업이익(손실),0,"(2,516,587,029)",0
중단영업연결당기순이익,0,"(2,516,587,029)",0
연결당기순이익,15258873765,34271583029,"(15,861,729,544)"
당기순이익(손실)의 귀속,,,
지배기업 소유주지분,16227241060,34126501109,"(15,904,395,825)"
계속영업손익,16227241060,36643088138,"(15,904,395,825)"
중단영업손익,0,"(2,516,587,029)",0
비지배지분,"(968,367,295)",145081920,42666281
주당이익,,,
기본주당이익(손실) (단위 : 원),80,168,(79)
계속영업기본주당이익(손실) (단위 : 원),80,180,(79)
중단영업기본주당이익(손실) (단위 : 원),0,(12),0
