Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
"매출액 (주11,37)",2162073,1788163,1706532
"매출원가 (주11,32)",2163956,1691528,1727059
매출총이익(손실) (주37),"(1,883)",96635,"(20,527)"
"판매비와관리비 (주31,32)",106904,90010,88464
영업이익(손실) (주37),"(108,787)",6625,"(108,991)"
기타수익 (주33),53666,11768,10004
기타비용 (주33),14792,17100,25492
금융수익 (주34),17832,7563,22112
금융비용 (주34),50331,60892,57130
관계기업에 대한 지분법손익 (주13),(989),409,1829
법인세비용차감전순이익(손실),"(103,401)","(51,627)","(157,668)"
법인세비용(수익) (주24),10918,"(1,467)","(17,824)"
당기순이익(손실) (주35),"(114,319)","(50,160)","(139,844)"
당기순이익(손실)의 귀속,,,
지배기업소유주지분,"(114,008)","(50,162)","(139,834)"
비지배지분,(311),2,(10)
주당이익 (주35),,,
기본및희석주당순이익(손실) (단위 : 원),"(1,396)",(602),"(1,679)"
