Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,1105282,1078800,1148724
"현금및현금성자산 (주4,6,7)",240726,181246,222173
"유동매출채권 (주4,6,8)",459323,466612,469797
"기타 유동채권 (주4,6,8)",49541,35241,65343
유동재고자산 (주11),336486,374560,357559
환불자산 (주21),507,540,904
당기법인세자산,4565,5092,12759
기타유동자산 (주10),14134,15509,20113
매각예정처분자산집단,0,0,76
비유동자산,1279510,1404929,1398667
"매출채권 및 기타비유동채권 (주4,6,8)",9259,17926,13133
"기타비유동금융자산 (주4,6,12)",13398,10873,4400
유형자산 (주14),1012757,1096652,1171245
투자부동산 (주15),318,318,0
사용권자산 (주20),99802,118705,93291
영업권 이외의 무형자산 (주16),56034,52745,42582
이연법인세자산 (주34),61392,58073,73089
비유동 순확정급여자산 (주23),25918,48925,0
기타비유동자산 (주13),632,712,927
자산총계,2384792,2483729,2547391
부채,,,
유동부채,1041605,1060606,1220060
"단기매입채무 (주4,6)",271936,226856,278901
"미지급금 및 기타채무 (주4,6,17)",300343,270421,323545
"차입금 (주4,6,18)",402176,485978,538547
"유동 리스부채 (주4,6,20)",27032,32639,25423
유동충당부채 (주19),15584,13799,13985
환불부채 (주21),739,758,1201
당기법인세부채,1328,212,410
기타 유동부채 (주22),22467,29943,38048
비유동부채,510205,643180,463913
"장기미지급금 및 장기지급채무 (주4,6,17)",27311,27864,28252
"비유동성장기차입금 (주4,6,18)",393284,517192,353231
기타비유동금융부채,65,0,0
"비유동 리스부채 (주4,6,20)",67706,79899,60043
비유동충당부채 (주19),1442,1815,1135
비유동 순확정급여부채 (주23),110,111,3179
이연법인세부채 (주34),13542,16299,18073
기타 비유동 부채,6745,0,0
부채총계,1551810,1703786,1683973
자본,,,
지배기업의 소유주에게 귀속되는 지분,832982,779943,863520
"자본금 (주1,25)",50000,50000,50000
자본잉여금 (주25),615840,615840,616094
기타자본구성요소 (주26),"(8,189)","(8,189)","(8,189)"
기타포괄손익누적액 (주26),(31),"(3,650)","(12,369)"
이익잉여금(결손금) (주27),175362,125942,217984
비지배지분,0,0,(102)
자본총계,832982,779943,863418
자본과부채총계,2384792,2483729,2547391
