Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
"수익(매출액) (주5,38)",3525807,3611151,3459792
매출원가 (주29),2685184,2851053,2627603
매출총이익,840623,760098,832189
"판매비와관리비 (주28,29)",728934,746369,761737
대손상각비(대손충당금환입),1867,"(1,211)",0
영업이익(손실) (주5),109822,14940,70452
영업외수익 (주30),21507,47644,38720
영업외비용 (주31),"(23,634)","(135,702)","(67,152)"
기타대손충당금환입 (주31),1038,(689),"(1,169)"
금융수익,5889,10720,3225
금융수익-유효이자율법에따른 이자수익 (주33),7992,5136,3571
금융원가 (주33),"(52,062)","(47,992)","(25,981)"
법인세비용차감전순이익(손실) (주33),70552,"(105,943)",21666
법인세비용(수익) (주34),6616,5366,6899
계속영업이익(손실) (주34),63936,"(111,309)",14767
중단영업이익(손실) (주37),"(2,150)","(6,412)","(2,103)"
당기순이익(손실) (주37),61786,"(117,721)",12664
당기순이익(손실)의 귀속 (주37),,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),61786,"(117,095)",13090
지배기업의 소유주에게 귀속될 계속영업손익,63936,"(111,309)",14767
지배기업의 소유주에게 귀속될 중단영업손익,"(2,150)","(5,786)","(1,677)"
비지배지분에 귀속되는 당기순이익(손실),0,(626),(426)
비지배지분에 귀속될 계속영업이익(손실),0,0,0
비지배지분에 귀속될 중단영업이익(손실),0,(626),(426)
XII. 주당손익 (주35),,,
보통주 (단위 : 원) (주35),,,
기본주당계속영업손익 (단위 : 원),6407,"(11,153)",1479
기본주당중단영업손익 (단위 : 원),(221),(585),(173)
우선주 (단위 : 원),,,
우선주당계속영업손익 (단위 : 원),6457,"(11,103)",1530
우선주당중단영업손익 (단위 : 원),(221),(585),(173)
