Accounts,2023.06.30,2022.06.30,2021.06.30
자산,,,
비유동자산,1627578625,1701725246,1838574067
관계기업에 대한 투자자산 (주12),58703503,0,0
유형자산 (주13),17028136,20229695,26296872
투자부동산 (주14),45789708,49655460,53521212
무형자산 (주15),1271,850872,851590
사용권자산 (주16),1505327831,1629904369,1756370963
"기타비유동자산 (주19,30)",728176,1084850,1533430
유동자산,669982226,518073321,362470325
유동재고자산 (주17),934559,1878743,7818114
"매출채권 (주18,30)",133348056,167659666,199488788
"기타유동자산 (주19,30,31)",7770206,2317282,2250871
"현금및현금성자산 (주20,30,31)",522643381,340931606,147626528
당기법인세자산,5286024,5286024,5286024
자산총계,2297560851,2219798567,2201044392
자본및부채,,,
지배기업의 소유주에게 귀속되는 자본,2278967319,2173849590,2128235703
자본금 (주21),978928879,911898999,902423631
보통주자본금,58820062,41948430,39906532
주식발행초과금,920108817,869950569,862517099
자본잉여금,0,0,0
"기타자본 (주22,23)",50952721,51253364,47824159
기타포괄손익누계액 (주22),"(764,895)",477499,"(63,350)"
이익잉여금(결손금) (주24),1249850614,1210219728,1178051263
비지배지분,"(884,735)","(884,619)","(883,259)"
자본총계,2278082584,2172964971,2127352444
부채,,,
비유동부채,4038282,1531554,1291452
"장기차입금 (주25,28,30,31)",3403869,1476508,775212
"리스부채 (주16,30,31)",634413,55046,516240
유동부채,15439985,45302042,72400496
"매입채무 (주26,30,31)","(11,073,868)","(35,354,802)","(57,933,149)"
"유동 차입금 (주25,28,30,31)",1099000,0,0
"리스부채 (주16,30,31)",204760,79474,217363
"기타 유동부채 (주27,30,31)",3062357,9867766,9875611
전환사채,0,0,3518392
유동파생상품부채,0,0,855981
부채총계,19478267,46833596,73691948
자본과부채총계,2297560851,2219798567,2201044392
