Accounts,2022.07.01~2023.06.30,2021.07.01~2022.06.30,2020.07.01~2021.06.30
매출 (주5),377032823,545209898,609727667
"매출원가 (주5,7)",228506433,392696475,482549726
매출총이익,148526390,152513423,127177941
"판매비와관리비 (주6,7)",110960383,118676838,100774999
영업이익(손실),37566007,33836585,26402942
"기타수익 (주8,30)",2551038,1496347,2648249
"기타비용 (주8,30)",2913551,4381473,751340
"금융수익 (주9,30)",1212573,1546373,1889026
"금융비용 (주9,30)",26587,330727,538093
관계기업투자손익 (주12),1241290,0,0
법인세비용차감전순이익(손실),39630770,32167105,29650784
법인세비용(수익) (주10),0,0,0
당기순이익(손실),39630770,32167105,29650784
기타포괄손익,"(1,242,394)",540849,76590
후속적으로 당기손익으로 재분류되는 기타포괄손익,"(1,242,394)",540849,76590
해외사업환산손익,"(1,242,394)",540849,76590
연결총포괄이익,38388376,32707954,29727374
연결당기순이익의 귀속,,,
지배기업의 소유주,39630886,32168465,29719036
비지배지분,(116),"(1,360)","(68,252)"
연결총포괄손익의 귀속,,,
지배기업의 소유주,38388492,32709314,29795626
비지배지분,(116),"(1,360)","(68,252)"
주당이익 (주11),,,
기본주당이익 (단위 : CNY),0.24,0.27,0.27
희석주당이익 (단위 : CNY),0.24,0.26,0.27
