Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
수익(매출액),267075591,800234602,441369161
매출원가,136647599,165715766,95002497
매출총이익,130427992,634518836,346366664
판매비와관리비,113888999,271346122,119069076
영업이익(손실),16538993,363172714,227297588
기타이익,2142671,335845,127532
기타손실,28662387,1322871,1801016
금융수익,12827582,13820672,3564219
금융원가,7350690,17094509,4829944
법인세비용차감전순이익(손실),"(4,503,831)",358911851,224358379
법인세비용(수익),"(444,670)",88200488,58268074
당기순이익(손실),"(4,059,161)",270711363,166090305
기타포괄손익,1440710,"(930,773)","(1,494,337)"
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),1459359,"(2,558,240)","(1,685,408)"
해외사업장환산외환차이(세후기타포괄손익),1459359,"(2,558,240)","(1,685,408)"
당기손익으로 재분류되지 않는항목(세후기타포괄손익),"(18,649)",1627467,191071
기타포괄손익-공정가치측정금융자산평가손익,"(18,649)",1627467,191071
총포괄손익,"(2,618,451)",269780590,164595968
당기순이익(손실)의 귀속,,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),"(2,430,530)",268330985,165751954
비지배지분에 귀속되는 당기순이익(손실),"(1,628,631)",2380378,338351
포괄손익의 귀속,,,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분","(905,335)",267554619,164496153
"포괄손익, 비지배지분","(1,713,116)",2225971,99815
주당이익,,,
기본주당이익(손실) (단위 : USD),(0.07),7.78,4.66
희석주당이익(손실) (단위 : USD),(0.07),7.13,4.48
