Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,324517540,564779022,276836964
현금및현금성자산,215299224,373391493,167931631
매출채권 및 기타유동채권,16799904,72836580,47004536
유동 당기손익-공정가치측정금융자산,45115099,9182073,0
기타유동금융자산,8982565,10964268,1607035
유동재고자산,24991717,90089412,45952493
유동 파생상품 금융자산,0,0,5955547
당기법인세자산,10763408,3621375,2387769
기타유동자산,2565623,4693821,5997953
비유동자산,211496494,133934597,96009035
비유동 당기손익-공정가치측정금융자산,55049358,3156317,0
기타비유동금융자산,4016970,4519995,5070011
유형자산,73212170,64252976,56892201
사용권자산,34982289,38758976,11084157
영업권 이외의 무형자산,932999,1160643,1449312
관계기업에 대한 투자자산,23266636,0,0
이연법인세자산,20024337,22085690,20361764
기타비유동자산,11735,0,1151590
자산총계,536014034,698713619,372845999
부채,,,
유동부채,34137469,154899556,116617492
매입채무 및 기타유동채무,15143168,130555818,35596959
유동 차입금,7044103,7104646,47357146
유동파생상품부채,7392018,4028607,6605581
유동 리스부채,3368990,3136906,1629496
당기법인세부채,0,6823400,12372655
기타 유동부채,1189190,3250179,13055655
비유동부채,46516566,49773394,11566745
장기매입채무 및 기타비유동채무,0,0,92847
장기차입금,11392896,11686262,0
비유동 리스부채,34918883,37585436,10128676
기타 비유동 부채,0,501696,1345222
이연법인세부채,204787,0,0
부채총계,80654035,204672950,128184237
자본,,,
지배기업의 소유주에게 귀속되는 자본,453044194,487739160,241745880
자본금,1831496,1828979,1828979
자본잉여금,42091073,51888595,51878531
기타포괄손익누계액,"(5,263,497)","(6,788,692)","(6,012,326)"
기타자본구성요소,"(26,102,615)","(24,863,852)","(3,292,449)"
이익잉여금(결손금),440487737,465674130,197343145
비지배지분,2315805,6301509,2915882
자본총계,455359999,494040669,244661762
자본과부채총계,536014034,698713619,372845999
