Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
수익(매출액),88219461,71257863,60673587
재화의 판매로 인한 매출액,85940137,69184469,58800977
용역의 제공으로 인한 매출액,750878,714602,456400
건설계약으로 인한 매출액,785395,646953,754998
공사부담금수익,743051,711839,661212
매출원가,89699527,100903594,63644290
재화의 판매로 인한 매출원가,88066120,99441768,62164425
용역의 제공으로 인한 매출원가,629806,520572,580902
건설계약으로 인한 매출원가,1003601,941254,898963
매출총손실,"(1,480,066)","(29,645,731)","(2,970,703)"
판매비와관리비,3061582,3009422,2875796
영업이익(손실),"(4,541,648)","(32,655,153)","(5,846,499)"
기타수익,532851,383650,372921
기타비용,258905,212150,257932
기타이익(손실),22686,243122,8519
금융수익,1425031,1833312,1402614
금융원가,5347018,4746791,3245777
"관계기업,공동기업,종속기업 관련이익(손실)",613026,1310391,494584
관계기업 및 공동기업 투자지분 평가이익,804141,1393486,775588
관계기업 및 공동기업 투자지분 처분이익,18204,11091,1844
관계기업/공동기업투자손상차손환입,347,0,0
종속기업투자주식처분이익,2,0,0
관계기업 및 공동기업 투자지분 평가손실,"(209,085)","(55,193)","(218,532)"
관계기업 및 공동기업 투자지분 처분손실,0,"(1,675)","(64,119)"
관계기업 및 공동기업 투자지분 손상차손,(19),"(5,174)",0
종속기업 투자지분 처분손실,(564),"(32,144)",(197)
법인세비용차감전순이익(손실),"(7,553,977)","(33,843,619)","(7,071,570)"
법인세수익,"(2,837,833)","(9,414,511)","(1,855,989)"
당기순손실,"(4,716,144)","(24,429,108)","(5,215,581)"
기타포괄손익,"(228,672)",1246869,599614
후속적으로 당기손익으로 재분류되지 않는 기타포괄손익,"(330,738)",733410,273042
확정급여제도의 재측정요소,"(271,724)",663095,210409
지분법적용대상인 관계기업과 공동기업의 기타포괄손익에 대한 지분,"(27,349)",12305,3609
기타포괄손익-공정가치측정금융자산평가손익,"(31,665)",58010,59024
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),102066,513459,326572
현금흐름위험회피 파생상품평가손익,"(3,654)","(24,415)","(15,778)"
해외사업장환산손익,"(17,274)",28387,41189
지분법적용대상인 관계기업과 공동기업의 기타포괄손익에 대한 지분,122994,509487,301161
총포괄손실,"(4,944,816)","(23,182,239)","(4,615,967)"
당기순이익(손실)의 귀속,,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),"(4,822,549)","(24,466,853)","(5,304,522)"
비지배지분에 귀속되는 당기순이익(손실),106405,37745,88941
총 포괄손익의 귀속,,,
지배기업의 소유주에게 귀속되는 포괄손익,"(5,032,584)","(23,273,171)","(4,743,513)"
비지배지분에 귀속되는 포괄손익,87768,90932,127546
주당이익,,,
기본주당이익(손실) (단위 : 원),"(7,512)","(38,112)","(8,263)"
희석주당손익 (단위 : 원),"(7,512)","(38,112)","(8,263)"
