Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
순수수료손익,789280,784115,1183059
수수료수익,1039083,1030882,1417597
수수료비용,"(249,803)","(246,767)","(234,538)"
순이자손익,791317,675525,769701
이자수익,1612284,1233133,999228
유효이자율적용이자수익,1058439,714217,512764
당기손익-공정가치측정금융상품,553845,518916,486464
이자비용,"(820,967)","(557,608)","(229,527)"
당기손익-공정가치측정금융상품관련순손익,"(20,184)","(317,893)",46341
기타포괄손익-공정가치측정금융상품관련순손익,"(15,182)","(1,971)",(485)
상각후원가측정금융상품관련순손익,68,9024,"(3,309)"
신용손실충당금전입(환입)액,110013,36144,"(13,448)"
외환거래손익,78180,59156,178616
판매와관리비,"(952,720)","(845,076)","(1,046,625)"
기타의영업손익,165011,194621,153199
영업이익,725757,521357,1293945
영업외수익,95107,44345,106033
영업외비용,"(100,135)","(125,487)","(97,915)"
법인세차감전순이익,720729,440215,1302063
법인세비용,"(167,681)","(137,287)","(370,599)"
당기순이익,553048,302929,931464
지배주주지분순이익,556440,303418,931526
대손준비금 반영후 조정이익,524061,307290,920646
비지배지분순손실,"(3,392)",(490),(62)
기타포괄손익,78161,34606,100024
후속적으로당기손익으로재분류되는항목,,,
기타포괄손익-공정가치측정채무상품평가손익,100542,"(86,760)","(24,366)"
위험회피파생상품평가손익,"(1,015)",(750),514
해외사업환산손익,10990,49677,64423
비지배지분기타포괄손익,(25),2,61
후속적으로당기손익으로재분류되지않는항목,,,
기타포괄손익-공정가치측정지분증권평가손익,21811,44735,72803
당기손익-공정가치측정지정금융부채신용위험조정,"(24,293)",14076,9603
확정급여제도의재측정요소,"(29,849)",13626,"(23,014)"
총포괄손익,631209,337535,1031488
지배기업의 소유주에게 귀속되는 총포괄손익,634626,338023,1031488
비지배지분에 귀속되는 총포괄손익,"(3,417)",(488),
주당이익,,,
기본보통주당순이익 (단위 : 원),1588.0,881.0,3071.0
희석보통주당순이익 (단위 : 원),1588.0,881.0,3071.0
기본우선주당순이익 (단위 : 원),1638.0,931.0,3121.0
