Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
Ⅰ.영업수익,3854590575,4231331899,3635331998
1.수수료수익 (주27),404094907,453273752,579818800
2.이자수익 (주28),610153571,466902293,345649077
3.당기손익-공정가치측정금융상품관련이익 (주29),2205917950,2263602041,1659510818
4.당기손익-공정가치측정지정금융상품관련이익 (주30),83520063,113844318,70380546
5.신용손실충당금 환입액 (주31),11097806,1545740,2613583
6.외환거래이익 (주31),209185410,233651509,81123875
7.분양수익,138184176,449162320,230920586
8.임대수익 (주31),85246111,81801322,76692371
9.기타의영업수익 (주31),107190581,167548604,588622342
Ⅱ.영업비용,3693273149,3977870015,2749783108
1.수수료비용 (주27),35793817,45220764,61567378
2.이자비용 (주28),599432476,361017568,204235366
3.당기손익-공정가치측정금융상품관련손실 (주29),1829482914,2089439073,1431204920
4.당기손익-공정가치측정지정금융상품관련손실 (주30),188737587,132665358,134520217
5.신용손실충당금 전입액 (주31),150774629,67525349,62588719
6.외환거래손실 (주31),192001345,261259133,117577262
7.분양비용,128063582,397817236,176864016
8.임대비용 (주31),52344555,56018217,64032628
9.인건비 (주31),281420543,297894249,282189649
"10.감가상각비 및 상각비 (주13,14,15)",38619215,36197394,40687679
11.기타 판매비와 관리비 (주33),176033702,176167533,152251460
12.기타의영업비용 (주31),20568784,56648141,22063814
Ⅲ.영업이익,161317426,253461884,885548890
Ⅳ.영업외손익 (주34),19902014,"(32,506,922)","(18,241,649)"
1.영업외수익,80707149,89993030,60032852
2.영업외비용,60805135,122499952,78274501
Ⅴ.법인세비용차감전연결순손익,181219440,220954962,867307241
Ⅵ.법인세비용 (주35),45387720,89211195,251484479
Ⅶ.당기연결순손익,135831720,131743767,615822762
Ⅷ.당기연결기타포괄손익,251209970,60518437,27427453
1.후속적으로당기손익으로재분류되는항목 (주36),,,
관계기업투자 지분법평가,"(1,529,042)",408569,273233
기타포괄손익-공정가치측정채무상품평가손익,63332689,56188144,17294298
해외사업환산손익,"(5,660,850)","(1,173,747)",11519199
2.후속적으로당기손익으로재분류되지않는항목 (주36),,,
확정급여제도의 재측정요소,"(771,294)",162746,"(1,467,282)"
기타포괄손익-공정가치측정지분증권평가손익,17862325,42111143,12156250
당기손익-공정가치측정지정금융부채의 자기신용위험변동손익,"(6,158,761)",4932725,"(191,995)"
유형자산의 재평가잉여금,210929019,0,0
Ⅸ.당기연결총포괄손익,387041690,192262204,643250215
당기연결순손익의 귀속,135831720,131743767,615822762
1.지배기업주주지분순손익 (주26),133649845,115908863,616579101
2.비지배지분순손익,2181875,15834904,"(756,339)"
당기연결총포괄손익의 귀속,387041690,192262204,643250215
1.지배기업주주지분총포괄손익,394255182,174586329,641485670
2.비지배지분총포괄손익,"(7,213,492)",17675875,1764545
지배기업주주지분에 대한 주당순이익 (주37),,,
보통주기본주당순이익 (단위 : 원),2036.0,1750.0,9323.0
우선주기본주당순이익 (단위 : 원),2014.0,1794.0,9280.0
2우선주기본주당순이익 (단위 : 원),1964.0,1744.0,9230.0
보통주희석주당순이익 (단위 : 원),1997.0,1713.0,9095.0
우선주희석주당순이익 (단위 : 원),1978.0,1757.0,9057.0
2우선주희석주당순이익 (단위 : 원),1928.0,1707.0,9007.0
